SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
淡水,新北市,25.0,,良好,1.7,0.22,30,27.0,16.0,6,6.4,7.5,1.2,,,2017-12-18 16:00,,0.2,4.0,12.0,1,,,
三重,新北市,37.0,,良好,2.8,1.57,-,,45.0,10,39.0,118.0,79.0,,,2017-12-18 17:00,,1.3,6.0,39.0,2,,,
松山,臺北市,,,設備維護,8.8,0.42,16,13.0,,,27.0,34.0,6.6,1.7,43.0,2017-12-18 18:00,,0.4,,,3,,,
大同,臺北市,41.0,,良好,2.8,2.01,-,,42.0,14.0,43.0,136.0,93.0,,,2017-12-18 18:00,,1.0,8.0,35.0,2,,,
桃園,桃園市,28.0,,良好,5.4,0.58,11,17.0,27.0,4.0,30.0,37.0,7.0,1.3,66.0,2017-12-18 18:00,,0.4,7.0,27.0,4,,,
大園,桃園市,27.0,,良好,4.1,0.23,32,29.0,40.0,9.0,16.0,20.0,4.3,6.2,52.0,2017-12-18 18:00,,0.2,7.0,25.0,3,,,
觀音,桃園市,44.0,,良好,2.8,0.19,30,30.0,36.0,14.0,11.0,11.0,0.6,7.2,81.0,2017-12-18 18:00,,0.2,13.0,32.0,4,,,
平鎮,桃園市,31.0,,良好,2.2,0.56,13,22.0,35.0,7.0,30.0,38.0,8.4,2.6,57.0,2017-12-18 18:00,,0.5,9.0,33.0,2,,,
龍潭,桃園市,38.0,,良好,3.4,0.28,27,28.0,21.0,16.0,16.0,18.0,2.1,6.9,75.0,2017-12-18 18:00,,0.3,12.0,17.0,2,,,
湖口,新竹縣,32.0,,良好,2.0,0.22,39,35.0,24.0,7.0,5.0,5.9,0.9,7.9,54.0,2017-12-18 18:00,,0.2,6.0,22.0,2,,,
忠明,臺中市,23,,良好,2.4,0.32,21,25.0,23,4,18.0,19.0,1.4,1.9,357.0,2017-12-18 20:00,,0.3,6,20,2,,,
西屯,臺中市,31,,良好,2.8,0.24,32,34.0,15,5,11.0,12.0,0.4,4.0,2.0,2017-12-18 20:00,,0.2,5,17,2,,,
彰化,彰化縣,38,,良好,1.8,0.38,20,23.0,25,15,17.0,18.0,1.4,6.0,3.9,2017-12-18 20:00,,0.4,12,28,2,,,
線西,彰化縣,48,,良好,2.6,0.25,29,28.0,29,15,13.0,14.0,0.8,1.8,113.0,2017-12-18 20:00,,0.3,15,30,3,,,
二林,彰化縣,39,,良好,3.6,0.27,26,28.0,25,12,12.0,13.0,1.1,6.1,30.0,2017-12-18 20:00,,0.3,12,32,3,,,
南投,南投縣,33,,良好,3.4,0.46,10,19.0,29,13,28.0,32.0,3.7,2.2,329.0,2017-12-18 20:00,,0.4,10,36,2,,,
斗六,雲林縣,65,細懸浮微粒,普通,2.8,0.37,15,30.0,45,38,24.0,27.0,3.0,2.1,5.7,2017-12-18 20:00,,0.3,21,42,2,,,
崙背,雲林縣,78,懸浮微粒,普通,3.1,0.35,24,26.0,58,16,14.0,15.0,0.7,5.0,12.0,2017-12-18 20:00,,0.3,26,94,3,,,
