SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,70.0,細懸浮微粒,普通,0.8,0.21,46,42.0,34.0,21,3.4,4.5,1.1,2.6,85.0,2017-01-31 00:00,,0.3,23.0,34.0,,,,
汐止,新北市,65.0,細懸浮微粒,普通,1.9,0.25,42,40.0,36.0,25,6.5,7.9,1.3,3.8,43.0,2017-01-31 00:00,,0.3,21.0,26.0,,,,
萬里,新北市,87.0,細懸浮微粒,普通,1.0,0.2,49,46.0,74.0,28,2.2,3.0,0.8,6.2,54.0,2017-01-31 00:00,,0.3,30.0,72.0,,,,
新店,新北市,50.0,nan,良好,1.7,0.29,42,36.0,20.0,17,6.1,7.5,1.4,1.8,99.0,2017-01-31 00:00,,0.4,15.0,16.0,,,,
土城,新北市,45.0,nan,良好,2.4,0.3,41,37.0,34.0,19,7.1,9.1,2.0,1.9,219.0,2017-01-31 00:00,,0.4,14.0,27.0,,,,
板橋,新北市,42.0,nan,良好,4.0,0.32,36,32.0,39.0,20,11.0,13.0,1.6,2.9,74.0,2017-01-31 00:00,,0.4,13.0,29.0,,,,
新莊,新北市,33.0,nan,良好,1.8,0.27,42,36.0,27.0,13,6.8,8.0,1.2,5.2,78.0,2017-01-31 00:00,,0.4,8.0,17.0,,,,
菜寮,新北市,42.0,nan,良好,1.1,0.28,41,36.0,28.0,19,6.9,8.0,1.1,4.4,93.0,2017-01-31 00:00,,0.4,13.0,16.0,,,,
林口,新北市,57.0,細懸浮微粒,普通,-0.4,0.26,42,40.0,29.0,19,5.0,6.1,1.2,4.3,68.0,2017-01-31 00:00,,0.3,18.0,31.0,,,,
淡水,新北市,38.0,nan,良好,1.1,0.2,41,38.0,25.0,13,2.7,3.7,1.0,nan,nan,2017-01-31 00:00,,0.3,12.0,22.0,,,,
士林,臺北市,38.0,nan,良好,1.2,0.22,44,41.0,19.0,6,4.0,4.7,0.7,3.8,117.0,2017-01-31 00:00,,0.3,8.0,19.0,,,,
中山,臺北市,34.0,nan,良好,0.4,0.32,38,31.0,37.0,19,10.0,14.0,3.4,2.5,113.0,2017-01-31 00:00,,0.4,10.0,21.0,,,,
萬華,臺北市,45.0,nan,良好,0.1,0.3,38,33.0,24.0,24,12.0,15.0,3.1,3.5,102.0,2017-01-31 00:00,,0.4,14.0,19.0,,,,
古亭,臺北市,60.0,細懸浮微粒,普通,3.3,0.26,40,36.0,26.0,30,8.7,10.0,1.8,3.1,78.0,2017-01-31 00:00,,0.4,19.0,21.0,,,,
松山,臺北市,39.0,nan,良好,2.9,0.3,38,35.0,33.0,13,10.0,12.0,2.2,2.5,79.0,2017-01-31 00:00,,0.4,12.0,22.0,,,,
大同,臺北市,33.0,nan,良好,1.7,0.58,-,nan,46.0,10,18.0,28.0,11.0,nan,nan,2017-01-31 00:00,,0.7,9.0,36.0,,,,
桃園,桃園市,33.0,nan,良好,1.4,0.29,42,36.0,30.0,18,6.7,7.4,0.7,2.9,89.0,2017-01-31 00:00,,0.4,10.0,21.0,,,,
大園,桃園市,82.0,細懸浮微粒,普通,2.7,0.25,43,38.0,59.0,28,8.8,9.5,0.7,9.0,53.0,2017-01-31 00:00,,0.4,28.0,58.0,,,,
基隆,基隆市,66.0,細懸浮微粒,普通,1.1,0.19,45,43.0,29.0,17,2.9,3.9,1.0,2.0,92.0,2017-01-31 01:00,,0.3,22.0,33.0,,,,
汐止,新北市,66.0,細懸浮微粒,普通,5.6,0.22,42,41.0,38.0,25,6.6,7.9,1.3,3.1,40.0,2017-01-31 01:00,,0.3,22.0,28.0,,,,
萬里,新北市,83.0,細懸浮微粒,普通,1.4,0.17,49,47.0,67.0,23,2.1,3.0,0.9,8.9,53.0,2017-01-31 01:00,,0.3,28.0,71.0,,,,
新店,新北市,49.0,nan,良好,1.8,0.24,44,37.0,21.0,14,5.0,6.2,1.2,2.1,122.0,2017-01-31 01:00,,0.4,15.0,17.0,,,,
土城,新北市,46.0,nan,良好,2.2,0.25,43,38.0,35.0,15,5.2,7.3,2.1,1.6,210.0,2017-01-31 01:00,,0.4,14.0,29.0,,,,
板橋,新北市,50.0,nan,良好,4.1,0.25,40,34.0,42.0,23,7.8,9.0,1.2,3.1,80.0,2017-01-31 01:00,,0.4,15.0,31.0,,,,
新莊,新北市,35.0,nan,良好,2.1,0.22,43,38.0,28.0,16,5.7,6.8,1.1,4.2,67.0,2017-01-31 01:00,,0.4,10.0,19.0,,,,
菜寮,新北市,49.0,nan,良好,1.3,0.23,43,38.0,31.0,23,5.7,6.6,0.9,3.6,90.0,2017-01-31 01:00,,0.4,15.0,19.0,,,,
林口,新北市,58.0,細懸浮微粒,普通,1.1,0.22,43,41.0,30.0,20,4.6,5.5,1.0,3.6,77.0,2017-01-31 01:00,,0.3,18.0,30.0,,,,
淡水,新北市,38.0,nan,良好,1.1,0.17,42,39.0,23.0,11,2.1,3.1,1.0,nan,nan,2017-01-31 01:00,,0.3,12.0,22.0,,,,
士林,臺北市,39.0,nan,良好,1.4,0.18,46,42.0,27.0,12,3.2,3.5,0.4,3.1,126.0,2017-01-31 01:00,,0.3,8.0,20.0,,,,
中山,臺北市,41.0,nan,良好,1.6,0.26,42,33.0,36.0,23,7.2,9.8,2.6,3.2,124.0,2017-01-31 01:00,,0.4,13.0,24.0,,,,
萬華,臺北市,51.0,細懸浮微粒,普通,1.8,0.23,43,35.0,26.0,25,7.1,9.6,2.5,3.2,111.0,2017-01-31 01:00,,0.4,16.0,19.0,,,,
古亭,臺北市,65.0,細懸浮微粒,普通,3.6,0.22,41,37.0,26.0,30,6.9,8.5,1.6,3.4,92.0,2017-01-31 01:00,,0.3,21.0,21.0,,,,
松山,臺北市,42.0,nan,良好,4.0,0.24,42,37.0,40.0,19,6.5,8.2,1.8,2.6,73.0,2017-01-31 01:00,,0.4,13.0,25.0,,,,
恆春,屏東縣,nan,nan,設備維護,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2017-01-31 00:00,,nan,nan,nan,,,,
中壢,桃園市,35.0,nan,良好,1.6,0.44,40,30.0,35.0,7,7.3,8.9,1.7,2.7,139.0,2017-01-31 00:00,,0.6,11.0,35.0,,,,
竹山,南投縣,71.0,細懸浮微粒,普通,2.4,0.44,16,19.0,30.0,16,15.0,16.0,0.9,1.5,345.0,2017-01-31 00:00,,0.5,24.0,51.0,,,,
永和,新北市,53.0,細懸浮微粒,普通,2.1,0.32,40,38.0,33.0,20,8.2,10.0,1.8,3.5,95.0,2017-01-31 00:00,,0.4,17.0,23.0,,,,
復興,高雄市,96.0,懸浮微粒,普通,2.6,0.79,8.5,23.0,84.0,27,25.0,31.0,6.4,1.4,269.0,2017-01-31 00:00,,0.8,33.0,119.0,,,,
埔里,南投縣,99.0,細懸浮微粒,普通,1.9,0.54,17,32.0,55.0,33,18.0,19.0,1.4,0.5,177.0,2017-01-31 00:00,,0.6,35.0,61.0,,,,
馬祖,連江縣,101.0,細懸浮微粒,對敏感族群不良,3.3,0.44,44,41.0,90.0,44,nan,nan,nan,3.2,53.0,2017-01-31 00:00,,0.4,36.0,72.0,,,,
金門,金門縣,74.0,細懸浮微粒,普通,1.4,0.49,36,31.0,61.0,34,4.9,6.0,1.1,5.7,61.0,2017-01-31 00:00,,0.5,25.0,40.0,,,,
馬公,澎湖縣,77.0,細懸浮微粒,普通,2.0,0.3,42,37.0,89.0,30,1.5,2.5,1.0,9.1,81.0,2017-01-31 00:00,,0.3,26.0,83.0,,,,
觀音,桃園市,80.0,細懸浮微粒,普通,1.7,0.24,44,41.0,61.0,25,4.8,5.5,0.7,9.1,72.0,2017-01-31 00:00,,0.3,27.0,61.0,,,,
平鎮,桃園市,36.0,nan,良好,1.5,0.29,42,34.0,32.0,12,5.7,7.5,1.8,5.1,63.0,2017-01-31 00:00,,0.4,11.0,28.0,,,,
龍潭,桃園市,44.0,nan,良好,2.0,0.28,39,35.0,25.0,14,5.2,6.3,1.0,8.7,52.0,2017-01-31 00:00,,0.4,13.0,29.0,,,,
湖口,新竹縣,68.0,細懸浮微粒,普通,2.4,0.24,46,42.0,38.0,21,2.6,3.6,1.0,8.6,48.0,2017-01-31 00:00,,0.3,23.0,39.0,,,,
竹東,新竹縣,31.0,nan,良好,-0.1,0.32,38,34.0,16.0,5,4.7,5.8,1.1,3.8,69.0,2017-01-31 00:00,,0.4,9.0,21.0,,,,
新竹,新竹市,69.0,細懸浮微粒,普通,1.9,0.28,39,35.0,34.0,26,42.0,48.0,6.5,4.9,62.0,2017-01-31 00:00,,0.4,23.0,41.0,,,,
頭份,苗栗縣,56.0,細懸浮微粒,普通,0.8,0.3,41,37.0,23.0,17,9.9,10.0,0.4,3.9,72.0,2017-01-31 00:00,,0.4,18.0,29.0,,,,
苗栗,苗栗縣,32.0,nan,良好,1.7,0.35,40,35.0,30.0,9,5.6,7.4,1.7,4.5,56.0,2017-01-31 00:00,,0.4,10.0,30.0,,,,
三義,苗栗縣,41.0,nan,良好,1.4,0.31,36,32.0,15.0,7,4.7,5.6,1.0,5.9,46.0,2017-01-31 00:00,,0.3,13.0,22.0,,,,
