SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,31.0,,良好,1.7,0.24,10,14.0,13.0,9,12.0,14.0,2.0,0.8,279.0,2017-07-14 00:00,,0.2,9.0,16.0,,,,
汐止,新北市,56.0,細懸浮微粒,普通,2.4,0.39,6,15.0,31.0,16,17.0,20.0,3.1,0.9,36.0,2017-07-14 00:00,,0.4,17.0,30.0,,,,
萬里,新北市,57.0,細懸浮微粒,普通,2.8,0.2,15,29.0,28.0,15,11.0,12.0,0.7,2.7,213.0,2017-07-14 00:00,,0.2,18.0,27.0,,,,
新店,新北市,55.0,細懸浮微粒,普通,1.4,0.28,9.9,20.0,29.0,12,11.0,13.0,2.1,2.2,51.0,2017-07-14 00:00,,0.4,17.0,32.0,,,,
土城,新北市,37.0,,良好,4.0,0.56,2.2,8.0,34.0,9,19.0,38.0,20.0,1.2,153.0,2017-07-14 00:00,,0.6,12.0,29.0,,,,
板橋,新北市,36.0,,良好,7.5,0.63,0.8,5.0,37.0,14,23.0,40.0,17.0,0.8,192.0,2017-07-14 00:00,,0.5,11.0,30.0,,,,
新莊,新北市,30.0,,良好,8.0,0.5,0.3,5.0,31.0,11,19.0,32.0,13.0,0.9,250.0,2017-07-14 00:00,,0.4,9.0,30.0,,,,
菜寮,新北市,35.0,,良好,5.0,0.59,0.8,10.0,20.0,7,20.0,37.0,17.0,1.9,177.0,2017-07-14 00:00,,0.4,11.0,21.0,,,,
林口,新北市,,,設備維護,,0.31,,,,,21.0,31.0,11.0,,,2017-07-14 00:00,,0.1,,,,,,
淡水,新北市,24.0,,良好,3.5,0.4,3,17.0,24.0,6,15.0,22.0,7.2,,,2017-07-14 00:00,,0.3,8.0,24.0,,,,
士林,臺北市,38.0,,良好,1.8,0.53,6.4,22.0,29.0,10,22.0,24.0,1.8,2.0,127.0,2017-07-14 00:00,,0.4,12.0,30.0,,,,
中山,臺北市,53.0,細懸浮微粒,普通,1.4,0.54,3.3,11.0,29.0,13,22.0,25.0,3.9,0.5,69.0,2017-07-14 00:00,,0.8,16.0,34.0,,,,
基隆,基隆市,29.0,,良好,2.0,0.22,9.9,13.0,12.0,9,9.9,12.0,1.8,0.7,241.0,2017-07-14 01:00,,0.3,9.0,14.0,,,,
汐止,新北市,55.0,細懸浮微粒,普通,3.7,0.41,3.3,11.0,31.0,16,17.0,22.0,4.5,0.8,291.0,2017-07-14 01:00,,0.4,17.0,30.0,,,,
桃園,桃園市,,,設備維護,,,,,,,,,,,,2017-07-14 00:00,,,,,,,,
中壢,桃園市,39.0,,良好,9.1,0.8,1.8,5.0,45.0,8,20.0,37.0,17.0,0.9,199.0,2017-07-14 00:00,,1.0,12.0,36.0,,,,
竹山,南投縣,54.0,細懸浮微粒,普通,0.9,0.14,18,29.0,30.0,14,3.0,2.8,-0.2,0.8,188.0,2017-07-14 00:00,,0.2,17.0,30.0,,,,
永和,新北市,56.0,細懸浮微粒,普通,1.2,0.36,9.4,9.0,21.0,13,13.0,17.0,4.0,1.3,131.0,2017-07-14 00:00,,1.1,18.0,26.0,,,,
復興,高雄市,29.0,,良好,2.6,0.38,20,10.0,29.0,6,14.0,16.0,2.3,1.4,86.0,2017-07-14 00:00,,0.5,8.0,31.0,,,,
埔里,南投縣,52.0,細懸浮微粒,普通,4.0,0.26,7.3,17.0,24.0,14,14.0,15.0,0.9,0.8,312.0,2017-07-14 00:00,,0.3,16.0,26.0,,,,
馬祖,連江縣,21.0,,良好,2.8,0.05,14,17.0,19.0,ND,6.1,6.6,0.5,4.0,200.0,2017-07-14 00:00,,0.1,3.0,23.0,,,,
金門,金門縣,28.0,,良好,3.6,0.08,23,23.0,18.0,9,6.9,7.8,0.9,2.8,214.0,2017-07-14 00:00,,0.1,9.0,17.0,,,,
馬公,澎湖縣,44.0,,良好,2.2,0.12,32,48.0,5.0,7,2.1,3.5,1.4,1.0,191.0,2017-07-14 00:00,,0.2,13.0,19.0,,,,
萬華,臺北市,42.0,,良好,2.5,0.63,5.6,5.0,24.0,9,15.0,24.0,8.6,1.0,54.0,2017-07-14 00:00,,1.1,13.0,29.0,,,,
古亭,臺北市,35.0,,良好,2.2,0.46,6.5,14.0,18.0,5,15.0,19.0,4.7,1.9,171.0,2017-07-14 00:00,,0.6,11.0,20.0,,,,
松山,臺北市,61.0,細懸浮微粒,普通,3.2,0.64,2.5,16.0,16.0,14,24.0,43.0,18.0,1.3,191.0,2017-07-14 00:00,,0.5,20.0,27.0,,,,
