SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,35.0,nan,良好,1.2,0.24,48,38.0,11.0,4,6.1,7.4,1.3,1.3,101.0,2017-02-26 12:00,,0.2,6.0,11.0,,,,
汐止,新北市,37.0,nan,良好,1.9,0.29,41,40.0,4.0,5,11.0,13.0,2.5,1.6,42.0,2017-02-26 12:00,,0.3,8.0,5.0,,,,
萬里,新北市,48.0,nan,良好,2.5,0.17,55,52.0,34.0,9,3.0,3.9,0.9,6.0,33.0,2017-02-26 12:00,,0.2,10.0,23.0,,,,
新店,新北市,35.0,nan,良好,1.4,0.39,36,38.0,20.0,12,17.0,19.0,1.7,0.8,321.0,2017-02-26 12:00,,0.3,9.0,17.0,,,,
基隆,基隆市,40.0,nan,良好,0.6,0.19,47,43.0,9.0,4,1.9,3.3,1.4,0.6,272.0,2017-02-26 04:00,,0.2,3.0,6.0,,,,
汐止,新北市,34.0,nan,良好,1.7,0.21,40,37.0,6.0,9,6.8,8.3,1.5,0.6,195.0,2017-02-26 04:00,,0.2,9.0,5.0,,,,
萬里,新北市,46.0,nan,良好,2.0,0.18,51,50.0,36.0,8,1.6,2.2,0.7,4.4,15.0,2017-02-26 04:00,,0.2,10.0,27.0,,,,
淡水,新北市,34,nan,良好,0.2,0.17,38,37.0,8,4,3.7,4.9,1.2,nan,nan,2017-02-26 00:00,,0.2,4.0,7,,,,
基隆,基隆市,39,nan,良好,1.0,0.2,45,42.0,7,ND,3.9,4.5,0.6,1.1,76.0,2017-02-26 00:00,,0.2,4.0,7,,,,
汐止,新北市,32,nan,良好,1.0,0.22,38,35.0,6,9,9.0,10.0,1.3,1.3,52.0,2017-02-26 00:00,,0.3,8.0,5,,,,
萬里,新北市,46,nan,良好,0.8,0.16,50,50.0,27,9,1.7,2.6,0.9,7.2,0.8,2017-02-26 00:00,,0.2,8.0,34,,,,
新店,新北市,28,nan,良好,1.7,0.35,27,30.0,16,7,19.0,20.0,1.4,0.7,81.0,2017-02-26 00:00,,0.4,8.0,14,,,,
土城,新北市,25,nan,良好,2.4,0.32,33,27.0,9,7,13.0,15.0,1.1,1.5,130.0,2017-02-26 00:00,,0.4,7.0,7,,,,
板橋,新北市,17,nan,良好,3.1,0.37,28,17.0,15,ND,18.0,19.0,1.0,1.5,14.0,2017-02-26 00:00,,0.5,5.0,17,,,,
新莊,新北市,19,nan,良好,2.0,0.38,23,20.0,12,4,20.0,22.0,1.7,0.7,100.0,2017-02-26 00:00,,0.5,3.0,13,,,,
菜寮,新北市,35,nan,良好,1.5,0.68,6.2,14.0,10,9,37.0,46.0,9.2,0.9,266.0,2017-02-26 00:00,,0.6,8.0,13,,,,
林口,新北市,40,nan,良好,0.6,0.16,44,43.0,20,9,2.5,3.5,0.9,3.6,53.0,2017-02-26 00:00,,0.2,10.0,20,,,,
士林,臺北市,23,nan,良好,1.2,0.36,24,21.0,15,12,15.0,17.0,1.2,0.6,346.0,2017-02-26 00:00,,0.4,7.0,16,,,,
中山,臺北市,20,nan,良好,2.9,0.4,25,17.0,9,8,21.0,23.0,2.2,0.7,107.0,2017-02-26 00:00,,0.5,6.0,11,,,,
萬華,臺北市,24,nan,良好,1.3,0.37,21,15.0,6,4,24.0,26.0,1.7,0.7,74.0,2017-02-26 00:00,,0.4,8.0,9,,,,
古亭,臺北市,27,nan,良好,1.4,0.31,33,28.0,9,8,15.0,16.0,1.3,2.0,101.0,2017-02-26 00:00,,0.4,8.0,7,,,,
松山,臺北市,24,nan,良好,0.7,0.3,31,26.0,16,6,15.0,16.0,1.4,1.2,59.0,2017-02-26 00:00,,0.3,4.0,15,,,,
大同,臺北市,38,nan,良好,2.3,1.35,-,nan,27,2,40.0,90.0,50.0,nan,nan,2017-02-26 00:00,,1.4,7.0,32,,,,
桃園,桃園市,35,nan,良好,2.2,0.24,35,33.0,9,9,8.8,11.0,2.0,0.7,45.0,2017-02-26 00:00,,0.3,11.0,10,,,,
大園,桃園市,45,nan,良好,1.2,0.15,50,49.0,7,12,2.4,3.3,0.9,9.2,30.0,2017-02-26 00:00,,0.2,7.0,20,,,,
觀音,桃園市,44,nan,良好,0.9,0.12,48,47.0,30,10,1.2,1.2,0.0,6.7,49.0,2017-02-26 00:00,,0.1,11.0,30,,,,
平鎮,桃園市,34,nan,良好,0.9,0.2,40,37.0,23,4,7.4,9.4,2.0,3.5,42.0,2017-02-26 00:00,,0.2,6.0,17,,,,
龍潭,桃園市,31,nan,良好,2.0,0.24,38,34.0,23,12,9.7,11.0,0.8,3.2,49.0,2017-02-26 00:00,,0.3,8.0,18,,,,
湖口,新竹縣,43,nan,良好,0.8,0.14,47,46.0,16,7,2.7,4.2,1.5,5.8,39.0,2017-02-26 00:00,,0.2,8.0,18,,,,
竹東,新竹縣,41,nan,良好,1.5,0.23,27,26.0,22,17,11.0,12.0,1.2,1.3,348.0,2017-02-26 00:00,,0.3,13.0,19,,,,
新竹,新竹市,33,nan,良好,1.4,0.2,39,36.0,18,10,6.9,7.5,0.6,3.5,55.0,2017-02-26 00:00,,0.3,9.0,22,,,,
頭份,苗栗縣,37,nan,良好,1.8,0.18,40,39.0,27,13,7.5,8.4,1.0,2.3,73.0,2017-02-26 00:00,,0.2,12.0,21,,,,
苗栗,苗栗縣,31,nan,良好,1.6,0.23,38,33.0,22,9,7.9,9.8,1.8,3.3,55.0,2017-02-26 00:00,,0.3,9.0,26,,,,
三義,苗栗縣,30,nan,良好,0.8,0.19,33,32.0,9,3,8.3,9.3,1.1,4.8,42.0,2017-02-26 00:00,,0.2,3.0,8,,,,
豐原,臺中市,31,nan,良好,2.3,0.21,29,29.0,20,12,8.2,9.2,1.0,1.8,47.0,2017-02-26 00:00,,0.2,10.0,15,,,,
沙鹿,臺中市,31,nan,良好,1.5,0.17,39,34.0,22,6,6.1,7.7,1.6,5.3,62.0,2017-02-26 00:00,,0.2,8.0,17,,,,
大里,臺中市,33,nan,良好,1.3,0.27,23,18.0,22,11,16.0,16.0,0.1,2.0,38.0,2017-02-26 00:00,,0.4,10.0,23,,,,
忠明,臺中市,43,nan,良好,1.7,0.24,28,23.0,37,25,13.0,15.0,2.3,2.0,42.0,2017-02-26 00:00,,0.3,13.0,26,,,,
西屯,臺中市,36,nan,良好,1.3,0.18,34,31.0,36,12,8.3,9.4,1.1,3.4,48.0,2017-02-26 00:00,,0.2,11.0,26,,,,
彰化,彰化縣,41,nan,良好,0.8,0.24,31,24.0,33,17,7.9,7.7,-0.3,3.2,52.0,2017-02-26 00:00,,0.4,13.0,22,,,,
線西,彰化縣,50,nan,良好,2.0,0.2,39,38.0,24,18,9.7,11.0,1.3,6.3,41.0,2017-02-26 00:00,,0.2,15.0,25,,,,
二林,彰化縣,31,nan,良好,1.9,0.18,39,34.0,22,12,5.4,6.7,1.3,6.1,43.0,2017-02-26 00:00,,0.2,8.0,31,,,,
南投,南投縣,57,細懸浮微粒,普通,1.9,0.3,20,14.0,41,20,14.0,15.0,1.7,1.4,306.0,2017-02-26 00:00,,0.4,18.0,38,,,,
斗六,雲林縣,72,細懸浮微粒,普通,2.2,0.28,20,20.0,27,nan,12.0,14.0,2.4,1.8,42.0,2017-02-26 00:00,,0.3,24.0,28,,,,
崙背,雲林縣,46,nan,良好,1.7,0.18,37,31.0,33,16,6.3,8.0,1.7,4.2,43.0,2017-02-26 00:00,,0.2,14.0,22,,,,
新港,嘉義縣,55,細懸浮微粒,普通,1.6,0.23,33,28.0,41,19,6.7,7.4,0.7,3.2,48.0,2017-02-26 00:00,,0.3,17.0,35,,,,
朴子,嘉義縣,43,nan,良好,3.3,0.32,28,31.0,36,19,13.0,15.0,1.8,3.0,68.0,2017-02-26 00:00,,0.3,13.0,32,,,,
臺西,雲林縣,53,細懸浮微粒,普通,2.8,0.22,36,33.0,31,14,6.0,7.8,1.8,6.1,38.0,2017-02-26 00:00,,0.3,17.0,26,,,,
嘉義,嘉義市,64,細懸浮微粒,普通,1.9,0.41,17,16.0,39,21,nan,nan,nan,2.3,343.0,2017-02-26 00:00,,0.5,21.0,45,,,,
新營,臺南市,55,細懸浮微粒,普通,2.1,0.33,18,21.0,39,23,14.0,15.0,1.1,3.0,53.0,2017-02-26 00:00,,0.3,17.0,39,,,,
善化,臺南市,65,細懸浮微粒,普通,1.5,0.4,16,18.0,41,21,14.0,15.0,0.7,4.4,280.0,2017-02-26 00:00,,0.4,21.0,43,,,,
安南,臺南市,58,細懸浮微粒,普通,1.2,0.34,18,23.0,34,20,14.0,15.0,1.3,2.6,311.0,2017-02-26 00:00,,0.4,18.0,38,,,,
臺南,臺南市,75,細懸浮微粒,普通,1.9,0.38,18,20.0,40,28,15.0,15.0,-0.2,3.9,60.0,2017-02-26 00:00,,0.5,25.0,39,,,,
美濃,高雄市,90,細懸浮微粒,普通,0.4,0.44,14,28.0,45,30,16.0,18.0,2.1,1.7,279.0,2017-02-26 00:00,,0.5,31.0,49,,,,
橋頭,高雄市,103,細懸浮微粒,對敏感族群不良,2.9,0.49,4.3,19.0,63,37,29.0,31.0,2.6,3.1,320.0,2017-02-26 00:00,,0.5,36.0,65,,,,
