SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,31.0,,良好,1.8,0.27,6,13.0,21.0,10,13.0,16.0,2.5,0.8,231.0,2017-07-02 01:00,,0.3,10.0,16.0,,,,
汐止,新北市,47.0,,良好,1.8,0.31,12,14.0,21.0,10,13.0,16.0,2.2,1.2,212.0,2017-07-02 01:00,,0.4,15.0,22.0,,,,
萬里,新北市,49.0,,良好,2.5,0.15,7.4,20.0,16.0,13,6.4,7.7,1.3,3.5,205.0,2017-07-02 01:00,,0.2,15.0,18.0,,,,
基隆,基隆市,32.0,,良好,1.2,0.25,4.1,7.0,23.0,10,8.1,12.0,4.0,1.1,265.0,2017-07-02 06:00,,0.2,10.0,18.0,,,,
汐止,新北市,40.0,,良好,1.8,0.39,3.6,8.0,22.0,10,11.0,20.0,8.4,0.7,111.0,2017-07-02 06:00,,0.3,12.0,22.0,,,,
萬里,新北市,27.0,,良好,2.9,0.17,7.5,10.0,15.0,3,6.2,7.0,0.8,4.4,207.0,2017-07-02 06:00,,0.2,8.0,17.0,,,,
新店,新北市,25.0,,良好,1.1,0.19,11,14.0,27.0,6,4.9,7.2,2.3,2.1,175.0,2017-07-02 06:00,,0.2,6.0,27.0,,,,
土城,新北市,25.0,,良好,1.9,0.44,6.9,23.0,21.0,6,21.0,25.0,4.0,1.1,160.0,2017-07-02 00:00,,0.4,8.0,21.0,,,,
新莊,新北市,31.0,,良好,2.3,0.5,5.4,26.0,22.0,4,20.0,22.0,1.9,0.8,239.0,2017-07-02 00:00,,0.4,10.0,21.0,,,,
菜寮,新北市,45.0,,良好,1.3,0.59,4,21.0,18.0,12,28.0,33.0,5.1,1.1,230.0,2017-07-02 00:00,,0.6,14.0,19.0,,,,
林口,新北市,37.0,,良好,2.0,0.25,19,27.0,20.0,10,13.0,13.0,0.3,1.1,115.0,2017-07-02 00:00,,0.3,12.0,21.0,,,,
淡水,新北市,35.0,,良好,2.6,0.49,6.9,22.0,25.0,6,17.0,20.0,3.1,,,2017-07-02 00:00,,0.4,11.0,29.0,,,,
士林,臺北市,52.0,細懸浮微粒,普通,1.9,0.58,9,24.0,19.0,13,24.0,26.0,2.1,1.1,193.0,2017-07-02 00:00,,0.5,16.0,21.0,,,,
中山,臺北市,36.0,,良好,1.8,0.91,4.1,16.0,19.0,,32.0,44.0,12.0,1.0,273.0,2017-07-02 00:00,,0.7,11.0,26.0,,,,
萬華,臺北市,,,設備維護,,,,,,,,,,,,2017-07-02 00:00,,,,,,,,
古亭,臺北市,37.0,,良好,2.2,0.63,5,20.0,16.0,4,25.0,31.0,6.4,0.9,233.0,2017-07-02 00:00,,0.5,11.0,11.0,,,,
松山,臺北市,23.0,,良好,1.3,0.61,6,15.0,21.0,13,24.0,36.0,12.0,1.6,210.0,2017-07-02 00:00,,0.5,,19.0,,,,
