SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,55.0,細懸浮微粒,普通,1.1,0.29,8.2,21.0,17.0,15,14.0,16.0,2.3,0.9,271.0,2017-07-25 00:00,,0.4,17.0,20.0,,,,
汐止,新北市,69.0,細懸浮微粒,普通,0.6,0.37,5.9,28.0,30.0,20,20.0,22.0,2.5,1.0,38.0,2017-07-25 00:00,,0.4,23.0,35.0,,,,
萬里,新北市,78.0,細懸浮微粒,普通,2.7,0.24,18,30.0,36.0,28,9.0,9.8,0.8,2.5,204.0,2017-07-25 00:00,,0.2,26.0,38.0,,,,
新店,新北市,67.0,細懸浮微粒,普通,1.7,0.22,18,36.0,26.0,15,7.5,8.9,1.4,2.9,118.0,2017-07-25 00:00,,0.3,22.0,32.0,,,,
土城,新北市,73.0,細懸浮微粒,普通,2.7,0.32,12,25.0,35.0,24,17.0,19.0,1.6,1.3,166.0,2017-07-25 00:00,,0.5,25.0,40.0,,,,
板橋,新北市,60.0,細懸浮微粒,普通,1.7,0.36,8.8,26.0,42.0,16,22.0,25.0,2.5,1.0,250.0,2017-07-25 00:00,,0.4,19.0,48.0,,,,
新莊,新北市,65.0,細懸浮微粒,普通,5.0,0.35,18,28.0,50.0,21,19.0,19.0,0.8,2.0,248.0,2017-07-25 00:00,,0.3,21.0,47.0,,,,
菜寮,新北市,74.0,細懸浮微粒,普通,4.4,0.34,18,31.0,43.0,25,17.0,18.0,0.9,1.4,301.0,2017-07-25 00:00,,0.3,25.0,40.0,,,,
林口,新北市,74.0,細懸浮微粒,普通,2.0,0.34,4.8,36.0,43.0,17,27.0,30.0,3.2,1.3,235.0,2017-07-25 00:00,,0.2,25.0,49.0,,,,
士林,臺北市,,,設備維護,,,,,,,,,,,,2017-07-25 00:00,,,,,,,,
中山,臺北市,66.0,細懸浮微粒,普通,4.0,0.47,21,24.0,54.0,25,17.0,19.0,2.0,0.7,283.0,2017-07-25 00:00,,0.8,22.0,47.0,,,,
基隆,基隆市,55.0,細懸浮微粒,普通,0.4,0.25,12,15.0,21.0,18,10.0,11.0,1.0,0.7,281.0,2017-07-25 01:00,,0.4,17.0,20.0,,,,
汐止,新北市,69.0,細懸浮微粒,普通,0.3,0.36,5.2,21.0,30.0,20,19.0,21.0,1.9,0.9,217.0,2017-07-25 01:00,,0.4,23.0,33.0,,,,
