SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,10.0,,良好,1.5,0.06,12,11.0,4,ND,2.0,2.7,0.8,2.6,138.0,2017-07-23 02:00,,0.1,2.0,6.0,,,,
汐止,新北市,23.0,,良好,1.2,0.19,5,6.0,3,9,9.4,13.0,3.8,1.1,204.0,2017-07-23 02:00,,0.2,7.0,6.0,,,,
萬里,新北市,13.0,,良好,3.2,0.09,8.1,8.0,6,3,3.2,4.0,0.8,3.2,187.0,2017-07-23 02:00,,0.1,4.0,5.0,,,,
新店,新北市,15.0,,良好,2.1,0.18,6.8,9.0,16,5,7.8,9.2,1.4,2.1,109.0,2017-07-23 02:00,,0.2,5.0,12.0,,,,
土城,新北市,17.0,,良好,1.6,0.17,6.6,7.0,10,6,8.2,9.4,1.2,1.5,151.0,2017-07-23 02:00,,0.3,5.0,14.0,,,,
板橋,新北市,14.0,,良好,1.7,0.3,1.8,3.0,10,ND,15.0,17.0,2.8,1.7,143.0,2017-07-23 02:00,,0.4,3.0,13.0,,,,
新莊,新北市,9.0,,良好,2.1,0.25,3.2,5.0,11,ND,10.0,13.0,2.1,2.5,53.0,2017-07-23 02:00,,0.3,2.0,10.0,,,,
菜寮,新北市,18.0,,良好,3.1,0.19,5.3,4.0,11,7,10.0,12.0,1.9,2.3,130.0,2017-07-23 02:00,,0.3,6.0,9.0,,,,
林口,新北市,19.0,,良好,1.9,0.23,1.1,4.0,18,3,,,,2.7,137.0,2017-07-23 02:00,,0.3,6.0,17.0,,,,
淡水,新北市,12.0,,良好,2.4,0.19,4.6,7.0,15,ND,9.0,9.9,0.9,,,2017-07-23 02:00,,0.2,2.0,13.0,,,,
士林,臺北市,11.0,,良好,2.0,0.14,8.7,7.0,7,ND,6.0,7.4,1.5,2.0,124.0,2017-07-23 02:00,,0.2,3.0,12.0,,,,
中山,臺北市,22.0,,良好,1.4,0.28,4.1,3.0,7,4,11.0,15.0,4.6,0.8,271.0,2017-07-23 02:00,,0.5,,24.0,,,,
萬華,臺北市,25.0,,良好,2.4,0.34,1,3.0,16,5,11.0,17.0,5.4,0.7,116.0,2017-07-23 02:00,,0.6,8.0,21.0,,,,
基隆,基隆市,9,,良好,0.7,0.1,10,10.0,6,4,2.8,4.7,2.0,2.0,152.0,2017-07-23 01:00,,0.1,3.0,6,,,,
基隆,基隆市,9,,良好,0.9,0.12,9.9,10.0,3,ND,3.1,5.0,1.9,1.3,116.0,2017-07-23 00:00,,0.1,3.0,7,,,,
汐止,新北市,23,,良好,0.9,0.23,5.6,7.0,7,5,8.3,14.0,5.8,1.4,24.0,2017-07-23 00:00,,0.2,7.0,6,,,,
萬里,新北市,17,,良好,2.7,0.07,6.5,9.0,8,3,4.9,8.0,3.1,2.8,204.0,2017-07-23 00:00,,0.1,5.0,6,,,,
新店,新北市,17,,良好,1.7,0.18,8.4,11.0,12,3,6.7,9.0,2.2,1.6,100.0,2017-07-23 00:00,,0.2,5.0,10,,,,
土城,新北市,17,,良好,1.6,0.41,3.3,10.0,18,6,18.0,25.0,7.0,1.0,159.0,2017-07-23 00:00,,0.3,5.0,13,,,,
板橋,新北市,14,,良好,0.8,0.46,2.7,5.0,14,2,15.0,23.0,8.3,1.7,61.0,2017-07-23 00:00,,0.5,3.0,13,,,,
新莊,新北市,10,,良好,1.6,0.34,5.5,7.0,11,2,11.0,14.0,2.7,2.1,83.0,2017-07-23 00:00,,0.3,1.0,11,,,,
菜寮,新北市,17,,良好,2.0,0.31,3,5.0,8,4,11.0,17.0,5.9,1.7,74.0,2017-07-23 00:00,,0.3,5.0,7,,,,
林口,新北市,17,,良好,1.3,0.32,3.6,6.0,21,8,13.0,15.0,1.8,1.9,110.0,2017-07-23 00:00,,0.2,5.0,15,,,,
淡水,新北市,9,,良好,2.2,0.23,4.1,9.0,13,ND,9.6,11.0,1.7,,,2017-07-23 00:00,,0.1,2.0,10,,,,
士林,臺北市,14,,良好,1.7,0.2,6.5,8.0,15,2,7.5,9.2,1.7,2.3,124.0,2017-07-23 00:00,,0.2,4.0,15,,,,
中山,臺北市,32,,良好,1.1,0.48,1.8,4.0,13,,12.0,26.0,13.0,0.6,327.0,2017-07-23 00:00,,0.5,,35,,,,
萬華,臺北市,24,,良好,2.4,0.65,2.6,4.0,17,4,13.0,34.0,21.0,0.9,112.0,2017-07-23 00:00,,0.7,8.0,21,,,,
古亭,臺北市,18,,良好,1.8,0.19,5.4,8.0,5,4,10.0,14.0,4.1,1.6,114.0,2017-07-23 00:00,,0.2,5.0,6,,,,
松山,臺北市,15,,良好,2.1,0.27,4.7,7.0,9,7,9.9,17.0,6.6,1.2,92.0,2017-07-23 00:00,,0.2,5.0,7,,,,
大同,臺北市,28,,良好,2.8,0.97,-,,23,ND,13.0,55.0,42.0,,,2017-07-23 00:00,,1.2,2.0,30,,,,
桃園,桃園市,35,,良好,9.7,0.56,1.5,6.0,23,6,15.0,29.0,14.0,0.9,79.0,2017-07-23 00:00,,0.4,11.0,21,,,,
大園,桃園市,89,細懸浮微粒,普通,3.5,0.19,50,50.0,53,37,7.7,7.7,0.0,0.8,175.0,2017-07-23 00:00,,0.2,31.0,49,,,,
觀音,桃園市,67,細懸浮微粒,普通,2.4,0.16,44,54.0,44,19,,,,0.6,136.0,2017-07-23 00:00,,0.2,22.0,45,,,,
平鎮,桃園市,82,細懸浮微粒,普通,4.7,0.35,30,45.0,61,34,19.0,21.0,1.9,1.7,26.0,2017-07-23 00:00,,0.3,28.0,54,,,,
龍潭,桃園市,87,細懸浮微粒,普通,2.7,0.34,38,57.0,54,31,13.0,13.0,0.5,1.3,124.0,2017-07-23 00:00,,0.3,30.0,57,,,,
湖口,新竹縣,74,細懸浮微粒,普通,3.8,0.26,30,47.0,42,22,16.0,18.0,1.8,1.2,177.0,2017-07-23 00:00,,0.3,25.0,44,,,,
竹東,新竹縣,82,細懸浮微粒,普通,1.6,0.29,21,40.0,44,32,7.5,7.5,0.0,1.2,115.0,2017-07-23 00:00,,0.3,28.0,42,,,,
新竹,新竹市,71,細懸浮微粒,普通,3.5,0.39,33,46.0,37,22,12.0,12.0,0.0,1.3,254.0,2017-07-23 00:00,,0.4,24.0,35,,,,
頭份,苗栗縣,78,細懸浮微粒,普通,2.5,0.33,26,47.0,54,27,13.0,14.0,1.2,0.7,304.0,2017-07-23 00:00,,0.3,26.0,46,,,,
苗栗,苗栗縣,71,細懸浮微粒,普通,2.2,0.35,22,42.0,54,27,12.0,13.0,1.5,0.6,253.0,2017-07-23 00:00,,0.3,24.0,48,,,,
三義,苗栗縣,83,細懸浮微粒,普通,1.6,0.33,38,50.0,46,28,7.0,8.0,1.0,0.4,187.0,2017-07-23 00:00,,0.3,28.0,46,,,,
豐原,臺中市,73,細懸浮微粒,普通,2.0,0.26,38,45.0,44,24,7.1,8.0,0.9,2.2,113.0,2017-07-23 00:00,,0.3,25.0,45,,,,
沙鹿,臺中市,75,細懸浮微粒,普通,4.7,0.36,28,37.0,49,29,12.0,13.0,0.8,1.7,209.0,2017-07-23 00:00,,0.3,25.0,43,,,,
大里,臺中市,85,細懸浮微粒,普通,4.7,0.53,17,29.0,69,32,18.0,18.0,0.0,2.3,207.0,2017-07-23 00:00,,0.5,30.0,66,,,,
忠明,臺中市,94,細懸浮微粒,普通,6.9,0.66,16,34.0,62,37,23.0,24.0,0.6,2.5,185.0,2017-07-23 00:00,,0.5,33.0,52,,,,
西屯,臺中市,86,細懸浮微粒,普通,5.4,0.56,30,38.0,56,31,15.0,16.0,0.8,1.1,207.0,2017-07-23 00:00,,0.4,30.0,54,,,,
