SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
宜蘭,宜蘭縣,76,細懸浮微粒,普通,2.9,0.18,24,28.0,41.0,21,4.7,4.9,0.1,0.9,182.0,2017-08-09 05:00,,0.3,26.0,47.0,,,,
中壢,桃園市,32,,良好,1.0,0.23,13,9.0,24.0,3,8.0,13.0,4.7,2.0,180.0,2017-08-09 05:00,,0.5,10.0,31.0,,,,
竹山,南投縣,30,,良好,1.9,0.12,5.3,6.0,27.0,8,3.4,4.8,1.4,0.6,100.0,2017-08-09 05:00,,0.2,9.0,24.0,,,,
永和,新北市,54,細懸浮微粒,普通,2.9,0.17,9.2,15.0,16.0,9,7.7,9.8,2.1,2.2,283.0,2017-08-09 05:00,,0.4,17.0,26.0,,,,
冬山,宜蘭縣,71,細懸浮微粒,普通,3.0,0.22,25,31.0,43.0,24,5.6,6.3,0.7,1.0,186.0,2017-08-09 05:00,,0.3,24.0,46.0,,,,
三重,新北市,44,,良好,2.5,0.57,-,,34.0,13,13.0,49.0,37.0,,,2017-08-09 05:00,,1.0,14.0,40.0,,,,
復興,高雄市,36,,良好,2.3,0.25,,10.0,31.0,4,11.0,12.0,0.8,0.9,103.0,2017-08-09 05:00,,0.2,11.0,26.0,,,,
埔里,南投縣,24,,良好,1.2,0.16,0.5,2.0,23.0,6,5.1,6.3,1.2,1.3,84.0,2017-08-09 05:00,,0.2,8.0,25.0,,,,
馬祖,連江縣,31,,良好,2.1,0.1,15,21.0,37.0,12,5.2,5.3,0.0,5.9,235.0,2017-08-09 05:00,,0.1,8.0,33.0,,,,
金門,金門縣,25,,良好,2.2,0.12,15,18.0,20.0,8,5.6,5.9,0.4,5.0,206.0,2017-08-09 05:00,,0.1,8.0,24.0,,,,
馬公,澎湖縣,30,,良好,0.1,0.1,16,18.0,13.0,10,3.0,3.6,0.6,1.5,176.0,2017-08-09 05:00,,0.1,9.0,16.0,,,,
關山,臺東縣,37,,良好,1.3,,10,15.0,24.0,11,3.5,3.8,0.3,0.8,183.0,2017-08-09 05:00,,,12.0,30.0,,,,
麥寮,雲林縣,53,細懸浮微粒,普通,2.3,0.17,6.1,9.0,34.0,13,8.3,9.7,1.3,3.1,188.0,2017-08-09 05:00,,0.2,16.0,38.0,,,,
淡水,新北市,32,,良好,4.0,0.11,13,9.0,20.0,6,5.1,5.7,0.6,,,2017-08-09 06:00,,0.3,10.0,22.0,,,,
萬華,臺北市,29,,良好,1.1,0.22,8.6,13.0,26.0,8,8.4,11.0,2.8,0.9,304.0,2017-08-09 06:00,,0.4,9.0,29.0,,,,
古亭,臺北市,49,,良好,2.2,0.18,9.4,14.0,16.0,14,8.5,9.9,1.4,2.1,268.0,2017-08-09 06:00,,0.3,15.0,24.0,,,,
松山,臺北市,57,細懸浮微粒,普通,1.8,0.18,11,17.0,17.0,12,6.7,9.8,3.2,3.0,249.0,2017-08-09 06:00,,0.3,18.0,22.0,,,,
大同,臺北市,41,,良好,1.8,0.61,-,,35.0,4,10.0,28.0,17.0,,,2017-08-09 06:00,,1.2,8.0,44.0,,,,
桃園,桃園市,37,,良好,2.9,0.12,13,12.0,22.0,14,6.6,8.0,1.4,2.1,242.0,2017-08-09 06:00,,0.1,11.0,22.0,,,,
基隆,基隆市,36,,良好,1.8,0.15,11,18.0,11.0,6,6.6,9.8,3.2,5.3,256.0,2017-08-09 07:00,,0.2,11.0,14.0,,,,
菜寮,新北市,31,,良好,3.2,0.41,13,13.0,24.0,9.0,9.1,18.0,8.7,1.9,167.0,2017-08-09 08:00,,0.2,9.0,25.0,,,,
