SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,48.0,,良好,1.6,0.18,47,24.0,21.0,12.0,5.7,7.3,1.6,2.0,87.0,2017-05-15 10:00,,0.3,15.0,23.0,,,,
汐止,新北市,52.0,細懸浮微粒,普通,4.3,0.26,40,19.0,26.0,19.0,12.0,15.0,3.5,2.3,47.0,2017-05-15 10:00,,0.3,16.0,25.0,,,,
萬里,新北市,44.0,,良好,3.6,0.15,48,28.0,22.0,14.0,4.9,7.0,2.2,4.7,42.0,2017-05-15 10:00,,0.2,14.0,24.0,,,,
新店,新北市,39.0,,良好,2.2,0.33,43,27.0,32.0,16.0,12.0,15.0,3.6,1.6,91.0,2017-05-15 10:00,,0.3,12.0,29.0,,,,
土城,新北市,41.0,,良好,2.1,0.41,52,22.0,31.0,14.0,13.0,16.0,3.1,1.3,98.0,2017-05-15 10:00,,0.4,13.0,33.0,,,,
板橋,新北市,45.0,,良好,2.9,,56,22.0,30.0,15.0,,,,1.9,77.0,2017-05-15 10:00,,0.4,14.0,32.0,,,,
新莊,新北市,47.0,,良好,2.9,0.63,56,23.0,36.0,16.0,19.0,22.0,3.4,1.4,44.0,2017-05-15 10:00,,0.5,15.0,34.0,,,,
菜寮,新北市,54.0,細懸浮微粒,普通,2.0,0.69,44,26.0,36.0,20.0,26.0,32.0,5.6,1.6,51.0,2017-05-15 10:00,,0.4,17.0,29.0,,,,
林口,新北市,74.0,細懸浮微粒,普通,4.4,0.5,40,30.0,51.0,34.0,25.0,32.0,7.2,2.0,288.0,2017-05-15 10:00,,0.3,25.0,43.0,,,,
淡水,新北市,50.0,,良好,3.4,0.42,40,26.0,29.0,22.0,13.0,16.0,2.2,,,2017-05-15 10:00,,0.3,15.0,24.0,,,,
士林,臺北市,32.0,,良好,2.2,0.27,47,29.0,19.0,12.0,7.9,9.8,1.8,1.9,122.0,2017-05-15 10:00,,0.3,10.0,13.0,,,,
中山,臺北市,38.0,,良好,3.1,0.56,39,27.0,28.0,14.0,23.0,31.0,7.7,1.6,315.0,2017-05-15 10:00,,0.4,12.0,21.0,,,,
萬華,臺北市,31.0,,良好,2.9,0.58,39,25.0,27.0,12.0,26.0,33.0,7.1,1.4,96.0,2017-05-15 10:00,,0.4,9.0,26.0,,,,
古亭,臺北市,39.0,,良好,2.6,0.46,47,28.0,22.0,14.0,19.0,24.0,4.7,1.8,43.0,2017-05-15 10:00,,0.3,12.0,17.0,,,,
湖口,新竹縣,,,設備維護,,,,,,,,,,,,2017-05-15 00:00,,,,,,,,
關山,臺東縣,30.0,,良好,2.1,,34,32.0,19.0,8,1.0,3.2,2.1,1.3,60.0,2017-05-15 00:00,,,9.0,19.0,,,,
麥寮,雲林縣,78.0,細懸浮微粒,普通,2.2,0.28,27,46.0,52.0,28,9.7,13.0,3.0,0.5,61.0,2017-05-15 00:00,,0.2,26.0,53.0,,,,
基隆,基隆市,44.0,,良好,0.6,0.2,48,47.0,12.0,8,5.4,6.2,0.8,1.0,79.0,2017-05-15 00:00,,0.3,13.0,19.0,,,,
汐止,新北市,57.0,細懸浮微粒,普通,1.8,0.35,29,36.0,24.0,16,15.0,17.0,1.2,1.2,67.0,2017-05-15 00:00,,0.3,18.0,25.0,,,,
萬里,新北市,51.0,細懸浮微粒,普通,1.3,0.21,23,42.0,31.0,19,3.9,4.8,0.8,2.9,182.0,2017-05-15 00:00,,0.2,16.0,28.0,,,,
新店,新北市,53.0,細懸浮微粒,普通,1.8,0.28,34,35.0,25.0,15,10.0,11.0,1.1,1.2,157.0,2017-05-15 00:00,,0.4,17.0,25.0,,,,
土城,新北市,46.0,,良好,1.6,0.43,19,30.0,24.0,11,20.0,21.0,1.9,1.0,166.0,2017-05-15 00:00,,0.5,14.0,27.0,,,,
板橋,新北市,55.0,細懸浮微粒,普通,0.9,0.52,26,25.0,29.0,14,22.0,23.0,1.0,1.0,33.0,2017-05-15 00:00,,0.6,17.0,33.0,,,,
新莊,新北市,45.0,,良好,1.8,0.47,31,31.0,30.0,15,17.0,18.0,1.7,2.4,71.0,2017-05-15 00:00,,0.5,14.0,30.0,,,,
菜寮,新北市,61.0,細懸浮微粒,普通,1.4,0.31,38,34.0,23.0,16,12.0,12.0,0.3,2.1,85.0,2017-05-15 00:00,,0.4,20.0,24.0,,,,
林口,新北市,65.0,細懸浮微粒,普通,1.5,0.28,37,35.0,22.0,18,12.0,13.0,1.4,3.5,124.0,2017-05-15 00:00,,0.3,21.0,31.0,,,,
淡水,新北市,56.0,細懸浮微粒,普通,1.8,0.16,40,38.0,26.0,14,1.2,1.7,0.5,,,2017-05-15 00:00,,0.2,18.0,25.0,,,,
士林,臺北市,40.0,,良好,1.9,0.2,42,39.0,15.0,6,5.5,7.8,2.3,1.9,95.0,2017-05-15 00:00,,0.3,12.0,24.0,,,,
中山,臺北市,62.0,細懸浮微粒,普通,1.2,0.44,33,28.0,35.0,25,17.0,19.0,1.8,1.9,124.0,2017-05-15 00:00,,0.5,20.0,35.0,,,,
萬華,臺北市,43.0,,良好,1.8,0.37,26,28.0,36.0,6,24.0,26.0,2.8,2.0,97.0,2017-05-15 00:00,,0.4,13.0,30.0,,,,
古亭,臺北市,54.0,細懸浮微粒,普通,1.3,0.37,35,33.0,20.0,14,14.0,16.0,1.4,1.4,93.0,2017-05-15 00:00,,0.4,17.0,24.0,,,,
松山,臺北市,48.0,,良好,2.0,0.44,28,31.0,20.0,13,18.0,19.0,1.5,1.5,64.0,2017-05-15 00:00,,0.4,15.0,21.0,,,,
大同,臺北市,46.0,,良好,2.0,0.67,-,,44.0,12,27.0,42.0,15.0,,,2017-05-15 00:00,,1.0,14.0,45.0,,,,
桃園,桃園市,46.0,,良好,3.8,0.47,27,29.0,33.0,10,16.0,18.0,2.0,0.8,112.0,2017-05-15 00:00,,0.5,14.0,31.0,,,,
大園,桃園市,45.0,,良好,2.6,0.44,26,31.0,29.0,12,16.0,17.0,0.8,2.0,134.0,2017-05-15 00:00,,0.4,14.0,30.0,,,,
觀音,桃園市,61.0,細懸浮微粒,普通,6.5,0.43,18,35.0,52.0,21,20.0,20.0,0.8,1.5,99.0,2017-05-15 00:00,,0.4,19.0,44.0,,,,
平鎮,桃園市,40.0,,良好,1.0,0.39,20,32.0,29.0,11,19.0,20.0,1.9,1.6,137.0,2017-05-15 00:00,,0.4,12.0,32.0,,,,
