SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,24.0,,良好,1.0,0.13,27,26.0,21.0,7,0.4,0.7,0.3,10.0,114.0,2017-07-30 01:00,,0.1,5.0,20.0,,,,
汐止,新北市,24.0,,良好,1.2,0.06,28,26.0,17.0,4,0.5,1.6,1.1,8.5,138.0,2017-07-30 01:00,,0.1,4.0,13.0,,,,
萬里,新北市,31.0,,良好,1.7,0.07,27,26.0,21.0,14,0.7,2.3,1.6,10.0,147.0,2017-07-30 01:00,,0.1,8.0,33.0,,,,
新店,新北市,23.0,,良好,1.5,0.06,26,25.0,9.0,6,1.7,2.0,0.4,3.6,98.0,2017-07-30 01:00,,0.1,3.0,9.0,,,,
土城,新北市,23.0,,良好,0.6,0.11,25,25.0,7.0,ND,2.1,3.3,1.2,1.7,140.0,2017-07-30 01:00,,0.1,1.0,9.0,,,,
板橋,新北市,20.0,,良好,0.6,0.09,22,22.0,18.0,4,4.4,5.1,0.7,1.7,100.0,2017-07-30 01:00,,0.1,3.0,15.0,,,,
新莊,新北市,22.0,,良好,1.6,0.13,25,24.0,11.0,2,2.4,3.2,0.8,5.0,93.0,2017-07-30 01:00,,0.1,2.0,12.0,,,,
菜寮,新北市,23.0,,良好,1.0,0.08,26,25.0,13.0,7,1.7,2.7,1.1,5.6,134.0,2017-07-30 01:00,,0.1,5.0,13.0,,,,
林口,新北市,24.0,,良好,1.7,0.09,26,26.0,21.0,3,0.8,1.5,0.8,2.8,97.0,2017-07-30 01:00,,0.1,2.0,20.0,,,,
淡水,新北市,22.0,,良好,1.5,0.06,23,24.0,24.0,8,1.4,1.5,0.2,,,2017-07-30 01:00,,0.1,5.0,13.0,,,,
士林,臺北市,25.0,,良好,1.9,0.07,28,27.0,27.0,5,1.9,2.8,1.0,7.0,105.0,2017-07-30 01:00,,0.1,5.0,16.0,,,,
中山,臺北市,20.0,,良好,1.1,0.09,24,22.0,17.0,6,2.8,2.6,-0.1,2.0,223.0,2017-07-30 01:00,,0.2,5.0,17.0,,,,
萬華,臺北市,19.0,,良好,1.7,0.1,25,21.0,24.0,5,1.6,3.7,2.1,3.0,64.0,2017-07-30 01:00,,0.2,6.0,21.0,,,,
古亭,臺北市,29.0,,良好,1.4,0.06,28,26.0,17.0,10,1.8,2.4,0.6,6.1,121.0,2017-07-30 01:00,,0.1,9.0,22.0,,,,
基隆,基隆市,25.0,,良好,0.6,0.01,27,27.0,15.0,5,0.8,1.7,1.0,6.1,118.0,2017-07-30 04:00,,0.1,5.0,17.0,,,,
汐止,新北市,27.0,,良好,0.8,0.09,27,29.0,11.0,6,-0.2,0.9,1.1,2.8,146.0,2017-07-30 04:00,,0.1,5.0,15.0,,,,
萬里,新北市,35.0,,良好,2.4,0.1,26,27.0,14.0,10,1.2,1.6,0.4,5.8,181.0,2017-07-30 04:00,,0.1,11.0,27.0,,,,
新店,新北市,24.0,,良好,1.5,0.11,25,26.0,13.0,3,0.7,1.9,1.2,2.6,98.0,2017-07-30 04:00,,0.1,4.0,11.0,,,,
土城,新北市,20.0,,良好,1.2,0.15,7.2,22.0,11.0,ND,7.3,8.6,1.3,0.7,137.0,2017-07-30 04:00,,0.1,3.0,7.0,,,,
板橋,新北市,19.0,,良好,3.5,0.22,7.6,21.0,12.0,2,12.0,13.0,1.1,1.1,148.0,2017-07-30 04:00,,0.1,3.0,16.0,,,,
新莊,新北市,23.0,,良好,1.7,0.12,22,25.0,11.0,ND,3.8,4.0,0.2,1.2,77.0,2017-07-30 04:00,,0.1,3.0,11.0,,,,
菜寮,新北市,24.0,,良好,0.4,0.12,24,26.0,9.0,5,2.2,3.4,1.2,3.3,112.0,2017-07-30 04:00,,0.1,5.0,11.0,,,,
林口,新北市,23.0,,良好,2.5,0.08,18,25.0,15.0,4,3.6,4.6,1.1,1.2,48.0,2017-07-30 04:00,,0.1,3.0,18.0,,,,
淡水,新北市,22.0,,良好,2.6,0.07,23,24.0,14.0,8,2.1,2.7,0.6,,,2017-07-30 04:00,,0.1,6.0,14.0,,,,
士林,臺北市,26.0,,良好,1.2,,27,28.0,18.0,5,1.8,3.4,1.6,3.2,89.0,2017-07-30 04:00,,0.1,5.0,20.0,,,,
中山,臺北市,21.0,,良好,1.0,0.12,22,23.0,23.0,5,3.3,4.1,0.8,1.3,224.0,2017-07-30 04:00,,0.1,4.0,18.0,,,,
萬華,臺北市,22.0,,良好,1.2,0.14,22,24.0,17.0,6,2.4,4.4,2.0,0.7,235.0,2017-07-30 04:00,,0.1,6.0,19.0,,,,
古亭,臺北市,26.0,,良好,1.2,0.06,26,27.0,11.0,9,1.4,2.5,1.1,2.8,99.0,2017-07-30 04:00,,0.1,8.0,15.0,,,,
松山,臺北市,27.0,,良好,1.5,0.09,26,27.0,22.0,11,0.7,1.3,0.6,1.9,13.0,2017-07-30 04:00,,0.1,8.0,19.0,,,,
基隆,基隆市,24.0,,良好,0.7,0.1,27,26.0,21.0,5,0.5,0.7,0.2,10.0,132.0,2017-07-30 00:00,,0.1,4.0,17.0,,,,
汐止,新北市,23.0,,良好,0.3,0.06,28,25.0,12.0,5,1.0,2.2,1.2,6.3,130.0,2017-07-30 00:00,,0.1,3.0,12.0,,,,
萬里,新北市,36.0,,良好,2.0,0.07,27,26.0,22.0,9,0.7,2.2,1.5,7.0,145.0,2017-07-30 00:00,,0.1,7.0,39.0,,,,
新店,新北市,21.0,,良好,1.3,0.06,26,23.0,7.0,4,1.6,1.9,0.3,7.4,95.0,2017-07-30 00:00,,0.1,2.0,10.0,,,,
土城,新北市,22.0,,良好,0.4,0.1,26,24.0,7.0,ND,2.0,3.3,1.3,2.2,61.0,2017-07-30 00:00,,0.1,1.0,9.0,,,,
板橋,新北市,19.0,,良好,0.6,0.09,23,21.0,15.0,3,4.3,4.5,0.2,2.5,111.0,2017-07-30 00:00,,0.1,3.0,14.0,,,,
新莊,新北市,22.0,,良好,1.4,0.12,26,24.0,13.0,5,2.2,2.9,0.7,4.6,86.0,2017-07-30 00:00,,0.2,2.0,11.0,,,,
菜寮,新北市,22.0,,良好,1.4,0.09,26,24.0,11.0,4,1.8,2.7,0.9,7.0,123.0,2017-07-30 00:00,,0.1,4.0,14.0,,,,
林口,新北市,23.0,,良好,0.3,0.08,27,25.0,21.0,2,0.9,1.0,0.1,6.0,92.0,2017-07-30 00:00,,0.1,2.0,19.0,,,,
淡水,新北市,21.0,,良好,1.0,0.06,24,23.0,21.0,6,1.3,1.5,0.1,,,2017-07-30 00:00,,0.1,4.0,10.0,,,,
士林,臺北市,24.0,,良好,0.8,0.07,27,26.0,17.0,6,2.0,3.0,0.9,8.4,105.0,2017-07-30 00:00,,0.1,4.0,13.0,,,,
