SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,41.0,,良好,1.8,0.23,6.3,20.0,19.0,12,12.0,14.0,1.9,0.8,241.0,2017-07-10 00:00,,0.2,13.0,18.0,,,,
汐止,新北市,46.0,,良好,0.6,0.49,3.8,10.0,28.0,17,16.0,23.0,7.2,0.7,269.0,2017-07-10 00:00,,0.4,14.0,23.0,,,,
萬里,新北市,,,設備維護,,0.13,,,,,,,,2.7,218.0,2017-07-10 00:00,,0.1,,,,,,
新店,新北市,51.0,細懸浮微粒,普通,1.6,0.24,15,22.0,34.0,16,7.9,9.3,1.4,2.2,188.0,2017-07-10 00:00,,0.4,16.0,26.0,,,,
土城,新北市,38.0,,良好,2.4,0.64,1.7,13.0,38.0,15,22.0,40.0,19.0,1.0,158.0,2017-07-10 00:00,,0.5,12.0,30.0,,,,
板橋,新北市,23.0,,良好,2.0,0.51,2,11.0,26.0,7,20.0,23.0,3.0,1.3,219.0,2017-07-10 00:00,,0.7,7.0,24.0,,,,
新莊,新北市,26.0,,良好,2.7,0.68,6.6,18.0,29.0,10,24.0,27.0,2.8,0.9,240.0,2017-07-10 00:00,,0.6,8.0,22.0,,,,
菜寮,新北市,44.0,,良好,1.8,0.61,7.3,12.0,23.0,13,20.0,23.0,3.5,1.1,208.0,2017-07-10 00:00,,0.7,14.0,24.0,,,,
林口,新北市,41.0,,良好,3.5,0.42,12,15.0,31.0,13,21.0,23.0,1.8,0.8,232.0,2017-07-10 00:00,,0.4,13.0,27.0,,,,
淡水,新北市,24.0,,良好,2.4,0.68,2.1,12.0,34.0,9,25.0,30.0,5.1,,,2017-07-10 00:00,,0.4,7.0,26.0,,,,
士林,臺北市,21.0,,良好,2.9,0.47,3.2,13.0,18.0,4,21.0,26.0,4.8,0.9,124.0,2017-07-10 00:00,,0.3,7.0,23.0,,,,
中山,臺北市,,,設備維護,,,,,,,,,,,,2017-07-10 00:00,,,,,,,,
萬華,臺北市,51.0,細懸浮微粒,普通,3.1,0.85,5.9,9.0,31.0,14,20.0,31.0,11.0,0.5,164.0,2017-07-10 00:00,,1.1,16.0,27.0,,,,
基隆,基隆市,41.0,,良好,4.0,0.28,4.5,15.0,23.0,13,14.0,16.0,1.7,1.9,257.0,2017-07-10 01:00,,0.2,13.0,19.0,,,,
汐止,新北市,47.0,,良好,0.9,0.43,5.1,8.0,32.0,15,15.0,21.0,6.0,0.8,259.0,2017-07-10 01:00,,0.4,15.0,24.0,,,,
萬里,新北市,,,設備維護,,0.12,,,,,,,,2.9,218.0,2017-07-10 01:00,,0.1,,,,,,
新店,新北市,50.0,,良好,1.2,0.24,13,19.0,35.0,15,7.6,9.1,1.4,1.9,201.0,2017-07-10 01:00,,0.4,15.0,29.0,,,,
土城,新北市,39.0,,良好,1.8,0.48,2.6,9.0,38.0,11,20.0,29.0,8.8,0.6,169.0,2017-07-10 01:00,,0.5,12.0,32.0,,,,
板橋,新北市,24.0,,良好,3.1,0.43,2,8.0,32.0,3,17.0,22.0,4.9,0.6,240.0,2017-07-10 01:00,,0.7,7.0,26.0,,,,
新莊,新北市,29.0,,良好,3.3,0.6,6,15.0,31.0,12,20.0,22.0,2.1,0.6,246.0,2017-07-10 01:00,,0.6,9.0,24.0,,,,
菜寮,新北市,44.0,,良好,1.8,0.66,2.5,9.0,25.0,14,21.0,25.0,4.2,0.9,164.0,2017-07-10 01:00,,0.8,14.0,23.0,,,,
林口,新北市,42.0,,良好,4.1,0.39,13,14.0,28.0,15,20.0,22.0,1.9,1.0,224.0,2017-07-10 01:00,,0.4,13.0,28.0,,,,
淡水,新北市,25.0,,良好,1.5,0.66,2.8,9.0,36.0,10,26.0,29.0,3.4,,,2017-07-10 01:00,,0.5,7.0,27.0,,,,
馬公,澎湖縣,17.0,,良好,0.8,0.09,17,15.0,10.0,ND,-0.5,0.4,0.9,2.2,171.0,2017-07-10 00:00,,0.2,5.0,13.0,,,,
關山,臺東縣,24.0,,良好,17.0,,6.1,12.0,15.0,5,2.5,4.1,1.6,0.7,219.0,2017-07-10 00:00,,,6.0,16.0,,,,
