SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
二林,彰化縣,47,nan,良好,1.5,0.34,7.1,nan,71,20,15.0,16.0,0.7,1.8,154.0,2016-11-26 06:00,,nan,13,51,,,,
關山,臺東縣,23,nan,良好,1.1,nan,12,16.0,22,7,4.3,6.9,2.5,0.5,206.0,2016-11-26 08:00,,nan,7,21,,,,
麥寮,雲林縣,62,細懸浮微粒,普通,2.2,0.67,13,10.0,82,32,18.0,26.0,8.2,1.5,178.0,2016-11-26 08:00,,0.4,20,67,,,,
陽明,臺北市,36.0,nan,良好,1.7,0.23,42,42.0,nan,ND,4.3,5.0,0.6,nan,nan,2016-11-26 14:00,,0.19,4.0,8.0,,,,
宜蘭,宜蘭縣,31.0,nan,良好,2.2,0.39,37,36.0,35.0,4,8.2,10.0,1.9,0.7,226.0,2016-11-26 14:00,,0.33,4.0,22.0,,,,
冬山,宜蘭縣,24.0,nan,良好,1.4,0.26,32,28.0,19.0,10,10.0,13.0,2.9,1.3,325.0,2016-11-26 14:00,,0.32,3.0,20.0,,,,
三重,新北市,55.0,二氧化氮,普通,3.1,1.03,-,nan,45.0,13,33.0,78.0,45.0,nan,nan,2016-11-26 14:00,,1.68,6.0,36.0,,,,
中壢,桃園市,44.0,nan,良好,2.2,0.56,25,23.0,86.0,35,16.0,25.0,9.2,1.7,104.0,2016-11-26 14:00,,1.83,13.0,42.0,,,,
竹山,南投縣,82.0,細懸浮微粒,普通,3.0,0.3,41,27.0,46.0,15,10.0,11.0,0.6,2.6,33.0,2016-11-26 14:00,,0.42,28.0,58.0,,,,
永和,新北市,39.0,nan,良好,2.9,1.02,28,33.0,64.0,27,27.0,43.0,16.0,2.5,256.0,2016-11-26 14:00,,1.22,7.0,17.0,,,,
復興,高雄市,67.0,細懸浮微粒,普通,3.7,0.66,60,43.0,63.0,29,22.0,23.0,1.1,1.7,238.0,2016-11-26 14:00,,0.91,22.0,53.0,,,,
基隆,基隆市,31,nan,良好,3.6,0.29,32,37.0,20,8,10.0,11.0,1.1,0.5,94.0,2016-11-26 17:00,,0.3,5,13,,,,
汐止,新北市,30,nan,良好,1.6,0.62,13,35.0,36,15,30.0,35.0,5.7,1.0,178.0,2016-11-26 17:00,,0.47,9,17,,,,
萬里,新北市,33,nan,良好,2.5,0.23,41,39.0,28,6,4.6,6.1,1.5,2.7,303.0,2016-11-26 17:00,,0.26,5,25,,,,
新店,新北市,39,nan,良好,1.8,0.38,30,40.0,21,7,17.0,18.0,1.1,1.6,296.0,2016-11-26 17:00,,0.42,12,11,,,,
土城,新北市,36,nan,良好,1.8,0.33,34,42.0,25,7,12.0,13.0,1.1,1.9,319.0,2016-11-26 17:00,,0.56,8,20,,,,
板橋,新北市,33,nan,良好,2.9,0.42,29,37.0,35,7,16.0,18.0,2.1,2.4,302.0,2016-11-26 17:00,,0.65,9,26,,,,
新莊,新北市,34,nan,良好,1.8,0.3,31,40.0,39,9,13.0,14.0,1.4,2.6,27.0,2016-11-26 17:00,,0.63,7,22,,,,
大寮,高雄市,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2016-11-26 12:00,,nan,nan,nan,,,,
陽明,臺北市,12,nan,良好,4.2,0.16,37,nan,4,ND,5.2,6.2,0.9,nan,nan,2016-11-26 01:00,,nan,1,5,,,,
宜蘭,宜蘭縣,16,nan,良好,1.2,0.22,35,nan,15,ND,4.9,6.2,1.3,0.8,49.0,2016-11-26 01:00,,nan,3,17,,,,
冬山,宜蘭縣,32,nan,良好,5.6,0.36,16,nan,27,ND,23.0,26.0,2.5,1.7,94.0,2016-11-26 01:00,,nan,2,17,,,,
三重,新北市,34,nan,良好,1.2,0.56,-,nan,37,4,20.0,44.0,24.0,nan,nan,2016-11-26 01:00,,nan,4,32,,,,
中壢,桃園市,28,nan,良好,1.9,0.52,28,nan,30,7,12.0,21.0,8.2,1.5,275.0,2016-11-26 01:00,,nan,4,30,,,,
基隆,基隆市,16,nan,良好,1.2,0.19,36,nan,8,3,3.1,4.4,1.3,1.5,82.0,2016-11-26 01:00,,nan,5,13,,,,
汐止,新北市,19,nan,良好,1.0,0.16,38,nan,11,6,3.9,5.9,2.0,2.8,46.0,2016-11-26 01:00,,nan,6,14,,,,
萬里,新北市,31,nan,良好,5.6,0.16,38,nan,31,4,7.5,8.7,1.3,1.9,178.0,2016-11-26 01:00,,nan,4,33,,,,
新店,新北市,32,nan,良好,1.2,0.2,38,nan,7,11,5.9,6.8,0.9,2.6,105.0,2016-11-26 01:00,,nan,10,6,,,,
土城,新北市,18,nan,良好,1.2,0.28,32,nan,12,3,8.4,9.7,1.3,1.1,250.0,2016-11-26 01:00,,nan,4,14,,,,
板橋,新北市,23,nan,良好,2.5,0.32,30,nan,16,7,10.0,11.0,0.8,3.4,54.0,2016-11-26 01:00,,nan,5,21,,,,
新莊,新北市,15,nan,良好,1.9,0.27,33,nan,13,ND,8.0,9.0,1.0,3.9,66.0,2016-11-26 01:00,,nan,2,12,,,,
菜寮,新北市,19,nan,良好,2.1,0.24,36,nan,19,6,5.8,6.6,0.8,4.0,90.0,2016-11-26 01:00,,nan,6,17,,,,
林口,新北市,39,nan,良好,1.5,0.17,38,nan,18,12,5.5,5.8,0.3,3.9,96.0,2016-11-26 01:00,,nan,12,27,,,,
淡水,新北市,26,nan,良好,1.2,0.14,39,nan,17,7,1.5,1.8,0.3,nan,nan,2016-11-26 01:00,,nan,8,17,,,,
士林,臺北市,26,nan,良好,1.3,0.16,42,nan,17,6,2.0,3.2,1.2,4.2,112.0,2016-11-26 01:00,,nan,8,19,,,,
中山,臺北市,27,nan,良好,1.6,0.3,31,nan,17,10,9.1,12.0,2.4,2.4,118.0,2016-11-26 01:00,,nan,6,17,,,,
萬華,臺北市,26,nan,良好,1.1,0.28,30,nan,15,ND,12.0,14.0,2.5,3.3,97.0,2016-11-26 01:00,,nan,8,22,,,,
古亭,臺北市,26,nan,良好,1.1,0.24,35,nan,15,8,7.3,8.5,1.2,3.2,72.0,2016-11-26 01:00,,nan,8,15,,,,
松山,臺北市,23,nan,良好,1.2,0.24,36,nan,16,8,6.5,7.4,0.9,2.2,67.0,2016-11-26 01:00,,nan,5,16,,,,
大同,臺北市,29,nan,良好,1.6,0.47,-,nan,22,ND,12.0,16.0,3.4,nan,nan,2016-11-26 01:00,,nan,4,28,,,,
桃園,桃園市,17,nan,良好,3.8,0.29,32,nan,27,7,8.0,8.8,0.9,2.9,90.0,2016-11-26 01:00,,nan,3,18,,,,
大園,桃園市,30,nan,良好,2.0,0.21,31,nan,12,4,13.0,15.0,2.3,7.1,96.0,2016-11-26 01:00,,nan,6,32,,,,
觀音,桃園市,30,nan,良好,1.4,0.23,33,nan,20,6,8.0,8.4,0.4,4.2,102.0,2016-11-26 01:00,,nan,9,32,,,,
平鎮,桃園市,19,nan,良好,0.8,0.21,35,nan,15,3,6.2,6.4,0.2,4.4,101.0,2016-11-26 01:00,,nan,6,18,,,,
龍潭,桃園市,26,nan,良好,1.6,0.25,27,nan,31,ND,8.2,9.7,1.4,0.5,72.0,2016-11-26 01:00,,nan,5,28,,,,
湖口,新竹縣,23,nan,良好,1.9,0.29,22,nan,21,4,15.0,17.0,1.4,1.4,128.0,2016-11-26 01:00,,nan,7,16,,,,
竹東,新竹縣,36,nan,良好,1.9,0.35,8.9,nan,23,10,11.0,12.0,0.5,1.3,139.0,2016-11-26 01:00,,nan,11,13,,,,
新竹,新竹市,24,nan,良好,1.9,0.58,7.8,nan,22,3,25.0,26.0,1.2,0.5,41.0,2016-11-26 01:00,,nan,3,23,,,,
頭份,苗栗縣,29,nan,良好,1.5,0.43,4.9,nan,20,10,18.0,21.0,2.7,0.9,134.0,2016-11-26 01:00,,nan,9,17,,,,
苗栗,苗栗縣,30,nan,良好,2.0,0.57,3.6,nan,53,17,22.0,29.0,7.1,0.7,193.0,2016-11-26 01:00,,nan,8,32,,,,
三義,苗栗縣,32,nan,良好,1.4,0.44,12,nan,53,26,18.0,24.0,6.3,0.6,139.0,2016-11-26 01:00,,nan,10,29,,,,
豐原,臺中市,54,細懸浮微粒,普通,2.5,0.4,35,nan,44,48,7.2,8.3,1.0,1.1,150.0,2016-11-26 01:00,,nan,17,33,,,,
沙鹿,臺中市,49,nan,良好,3.7,0.62,22,nan,86,41,22.0,23.0,1.7,1.3,196.0,2016-11-26 01:00,,nan,15,43,,,,
大里,臺中市,52,細懸浮微粒,普通,2.9,0.58,7.1,nan,85,27,21.0,24.0,3.2,0.9,203.0,2016-11-26 01:00,,nan,16,47,,,,
忠明,臺中市,47,nan,良好,2.8,0.87,4.6,nan,73,34,34.0,42.0,8.3,1.6,194.0,2016-11-26 01:00,,nan,14,35,,,,
西屯,臺中市,52,細懸浮微粒,普通,1.9,0.59,3.8,nan,81,35,28.0,29.0,1.2,1.2,223.0,2016-11-26 01:00,,nan,16,44,,,,
彰化,彰化縣,39,nan,良好,6.8,0.6,12,nan,76,22,21.0,21.0,0.1,0.8,178.0,2016-11-26 01:00,,nan,12,40,,,,
線西,彰化縣,57,細懸浮微粒,普通,4.7,0.68,3.5,nan,85,40,31.0,38.0,7.0,2.3,151.0,2016-11-26 01:00,,nan,18,49,,,,
二林,彰化縣,36,nan,良好,3.2,0.4,4.8,nan,61,9,18.0,19.0,0.9,1.4,106.0,2016-11-26 01:00,,nan,9,39,,,,
南投,南投縣,77,細懸浮微粒,普通,2.1,0.43,6.9,nan,71,32,11.0,13.0,1.8,1.0,171.0,2016-11-26 01:00,,nan,26,57,,,,
斗六,雲林縣,57,細懸浮微粒,普通,2.4,0.42,15,nan,57,34,15.0,16.0,1.8,0.4,125.0,2016-11-26 01:00,,nan,18,44,,,,
