SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,43,nan,良好,0.1,0.19,45,44.0,28,13.0,1.7,2.6,0.9,2.3,81.0,2016-12-30 01:00,,0.2,13.0,29,,,,
汐止,新北市,37,nan,良好,2.8,0.23,41,37.0,34,14.0,6.9,8.3,1.4,1.9,76.0,2016-12-30 01:00,,0.3,11.0,34,,,,
萬里,新北市,54,懸浮微粒,普通,-0.1,0.18,49,50.0,48,9.0,1.1,2.2,1.1,9.8,52.0,2016-12-30 01:00,,0.2,13.0,60,,,,
新店,新北市,51,細懸浮微粒,普通,0.9,0.19,44,38.0,27,12.0,4.8,5.6,0.8,2.0,140.0,2016-12-30 01:00,,0.3,16.0,31,,,,
土城,新北市,33,nan,良好,1.8,0.22,40,35.0,29,8.0,6.3,8.2,1.9,1.6,142.0,2016-12-30 01:00,,0.4,10.0,34,,,,
板橋,新北市,46,nan,良好,2.5,0.25,39,30.0,41,13.0,8.2,10.0,2.2,3.0,85.0,2016-12-30 01:00,,0.4,14.0,41,,,,
新莊,新北市,33,nan,良好,3.1,0.21,40,34.0,29,5.0,7.1,8.4,1.3,4.6,86.0,2016-12-30 01:00,,0.3,9.0,36,,,,
菜寮,新北市,50,nan,良好,2.1,0.23,42,34.0,33,16.0,5.5,7.5,2.0,3.1,80.0,2016-12-30 01:00,,0.4,15.0,36,,,,
林口,新北市,59,細懸浮微粒,普通,1.3,0.17,44,41.0,44,18.0,3.1,3.5,0.4,4.3,65.0,2016-12-30 01:00,,0.2,19.0,46,,,,
淡水,新北市,42,nan,良好,1.2,0.17,42,40.0,28,10.0,2.2,3.2,1.0,nan,nan,2016-12-30 01:00,,0.2,13.0,35,,,,
士林,臺北市,54,細懸浮微粒,普通,1.2,0.18,47,43.0,23,20.0,3.0,4.2,1.2,3.5,114.0,2016-12-30 01:00,,0.3,17.0,34,,,,
中山,臺北市,58,細懸浮微粒,普通,1.2,0.3,39,24.0,32,21.0,9.1,11.0,1.7,2.6,100.0,2016-12-30 01:00,,0.6,18.0,36,,,,
萬華,臺北市,53,細懸浮微粒,普通,4.7,0.25,15,22.0,27,11.0,13.0,14.0,1.4,2.5,98.0,2016-12-30 01:00,,0.4,17.0,37,,,,
古亭,臺北市,71,細懸浮微粒,普通,1.5,0.21,43,33.0,33,17.0,6.3,7.4,1.1,3.4,90.0,2016-12-30 01:00,,0.4,24.0,44,,,,
松山,臺北市,41,nan,良好,4.5,0.23,39,30.0,31,17.0,9.1,11.0,2.2,1.7,83.0,2016-12-30 01:00,,0.4,13.0,39,,,,
