SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
大同,臺北市,52,懸浮微粒,普通,3.9,1.58,-,,46.0,3,23.0,73.0,50.0,,,2017-07-24 00:00,,1.4,15,56,,,,
埔里,南投縣,61,細懸浮微粒,普通,2.7,0.29,11,27.0,33.0,19,9.8,11.0,0.9,0.4,197.0,2017-07-24 00:00,,0.3,19,34,,,,
馬祖,連江縣,29,,良好,3.9,0.07,26,31.0,23.0,10,3.4,3.6,0.2,0.9,32.0,2017-07-24 00:00,,0.1,6,23,,,,
金門,金門縣,38,,良好,4.2,0.09,21,30.0,27.0,9,9.7,11.0,1.0,2.4,247.0,2017-07-24 00:00,,0.1,12,33,,,,
馬公,澎湖縣,42,,良好,3.5,0.11,27,37.0,21.0,15,14.0,15.0,1.3,1.6,163.0,2017-07-24 00:00,,0.1,13,24,,,,
關山,臺東縣,12,,良好,1.4,,5.9,10.0,9.0,3,1.8,2.5,0.7,0.5,328.0,2017-07-24 00:00,,,3,13,,,,
基隆,基隆市,40,,良好,1.6,0.17,18,20.0,12.0,9,6.9,7.7,0.8,0.7,193.0,2017-07-24 00:00,,0.3,12,16,,,,
汐止,新北市,73,細懸浮微粒,普通,1.2,0.36,7.5,44.0,27.0,22,20.0,23.0,3.4,0.5,331.0,2017-07-24 00:00,,0.3,24,29,,,,
萬里,新北市,70,細懸浮微粒,普通,7.7,0.15,23,42.0,30.0,19,11.0,12.0,0.8,4.7,208.0,2017-07-24 00:00,,0.2,23,38,,,,
新店,新北市,64,細懸浮微粒,普通,1.9,0.18,18,32.0,25.0,16,7.2,8.2,1.1,3.2,113.0,2017-07-24 00:00,,0.3,21,27,,,,
土城,新北市,65,細懸浮微粒,普通,2.3,0.42,10,29.0,39.0,25,22.0,24.0,1.9,0.9,166.0,2017-07-24 00:00,,0.4,21,33,,,,
板橋,新北市,51,細懸浮微粒,普通,-0.3,0.5,7.9,23.0,31.0,8,27.0,29.0,2.5,2.1,218.0,2017-07-24 00:00,,0.5,16,39,,,,
新莊,新北市,52,細懸浮微粒,普通,1.8,0.55,15,35.0,27.0,11,18.0,19.0,1.1,1.1,247.0,2017-07-24 00:00,,0.4,16,33,,,,
菜寮,新北市,55,細懸浮微粒,普通,3.0,0.44,10,29.0,23.0,7,18.0,20.0,1.9,1.8,124.0,2017-07-24 00:00,,0.4,17,32,,,,
林口,新北市,62,細懸浮微粒,普通,4.2,0.48,8.7,29.0,30.0,20,26.0,27.0,1.8,1.0,314.0,2017-07-24 00:00,,0.3,20,38,,,,
淡水,新北市,57,細懸浮微粒,普通,3.4,0.31,22,35.0,34.0,15,13.0,13.0,0.3,,,2017-07-24 00:00,,0.2,18,37,,,,
士林,臺北市,65,細懸浮微粒,普通,6.3,0.29,20,44.0,36.0,18,18.0,20.0,1.6,1.5,127.0,2017-07-24 00:00,,0.3,21,35,,,,
中山,臺北市,68,細懸浮微粒,普通,1.1,0.32,14,30.0,18.0,12,15.0,17.0,1.3,0.7,259.0,2017-07-24 00:00,,0.4,23,38,,,,
萬華,臺北市,75,細懸浮微粒,普通,3.7,0.68,7.7,14.0,23.0,16,18.0,28.0,10.0,0.9,149.0,2017-07-24 00:00,,1.0,25,40,,,,
古亭,臺北市,59,細懸浮微粒,普通,2.2,0.36,9.2,27.0,10.0,8,16.0,20.0,4.1,1.3,181.0,2017-07-24 00:00,,0.4,19,24,,,,
松山,臺北市,62,細懸浮微粒,普通,1.9,0.27,18,37.0,19.0,11,11.0,13.0,2.5,0.7,123.0,2017-07-24 00:00,,0.3,20,27,,,,
桃園,桃園市,70,細懸浮微粒,普通,5.3,0.41,16,30.0,46.0,22,21.0,23.0,1.9,0.5,158.0,2017-07-24 00:00,,0.4,23,40,,,,
大園,桃園市,69,細懸浮微粒,普通,3.6,0.19,29,40.0,48.0,29,8.4,9.0,0.6,2.4,225.0,2017-07-24 00:00,,0.2,23,40,,,,
觀音,桃園市,53,細懸浮微粒,普通,3.7,0.14,32,39.0,38.0,15,5.3,5.9,0.6,1.7,202.0,2017-07-24 00:00,,0.1,16,33,,,,
平鎮,桃園市,65,細懸浮微粒,普通,2.8,0.35,9.7,29.0,50.0,22,23.0,25.0,2.2,1.9,223.0,2017-07-24 00:00,,0.3,21,45,,,,
龍潭,桃園市,54,細懸浮微粒,普通,2.1,0.23,16,29.0,48.0,17,12.0,13.0,1.4,1.7,186.0,2017-07-24 00:00,,0.3,17,43,,,,
