SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
汐止,新北市,29,,良好,1.8,0.48,10,24.0,19,12,29.0,33.0,3.6,0.9,76.0,2017-11-01 00:00,,0.3,9,24,2,,,
萬里,新北市,44,,良好,4.9,0.13,47,48.0,41,9,4.6,4.9,0.4,3.0,88.0,2017-11-01 00:00,,0.1,9,40,3,,,
基隆,基隆市,33,,良好,1.6,0.18,35,36.0,15,6,7.0,8.0,1.0,1.2,270.0,2017-11-01 00:00,,0.2,7,19,2,,,
新店,新北市,30,,良好,1.1,0.22,30,24.0,19,11,12.0,13.0,0.8,1.3,15.0,2017-11-01 00:00,,0.4,9,27,1,,,
土城,新北市,29,,良好,1.7,0.37,28,25.0,28,14,15.0,17.0,2.2,1.3,354.0,2017-11-01 00:00,,0.4,9,30,2,,,
板橋,新北市,25,,良好,1.7,0.43,25,19.0,23,8,20.0,22.0,2.0,2.4,70.0,2017-11-01 00:00,,0.6,8,26,2,,,
新莊,新北市,25,,良好,1.7,0.3,35,27.0,17,5,12.0,14.0,1.6,4.4,44.0,2017-11-01 00:00,,0.5,5,26,2,,,
菜寮,新北市,28,,良好,1.7,0.3,30,28.0,32,6,16.0,17.0,1.2,2.3,80.0,2017-11-01 00:00,,0.5,7,30,2,,,
林口,新北市,45,,良好,2.4,0.16,40,32.0,38,13,8.7,9.5,0.8,3.6,60.0,2017-11-01 00:00,,0.3,14,35,2,,,
淡水,新北市,23,,良好,2.2,0.52,12,25.0,20,4,19.0,22.0,2.4,,,2017-11-01 00:00,,0.4,4,23,2,,,
士林,臺北市,36,,良好,1.9,0.17,39,39.0,18,9,7.5,9.5,2.0,1.8,93.0,2017-11-01 00:00,,0.2,8,24,2,,,
中山,臺北市,25,,良好,0.8,0.47,18,17.0,16,,25.0,31.0,6.4,1.4,106.0,2017-11-01 00:00,,0.6,8,23,2,,,
萬華,臺北市,32,,良好,2.4,0.5,22,13.0,31,5,23.0,28.0,5.6,0.9,205.0,2017-11-01 00:00,,0.9,8,35,3,,,
古亭,臺北市,21,,良好,1.7,0.34,26,22.0,14,6,19.0,20.0,1.1,1.9,56.0,2017-11-01 00:00,,0.5,6,18,2,,,
松山,臺北市,31,,良好,2.3,0.43,18,17.0,21,11,24.0,28.0,3.1,1.2,55.0,2017-11-01 00:00,,0.4,10,22,3,,,
大同,臺北市,44,,良好,2.3,0.45,-,,44,2,24.0,30.0,5.8,,,2017-11-01 00:00,,1.7,5,47,4,,,
桃園,桃園市,31,,良好,5.1,0.22,35,26.0,25,9,9.5,11.0,1.2,2.1,160.0,2017-11-01 00:00,,0.4,10,28,5,,,
大園,桃園市,32,,良好,7.0,0.24,24,28.0,33,13,25.0,27.0,2.6,4.6,22.0,2017-11-01 00:00,,0.2,10,35,3,,,
觀音,桃園市,48,,良好,6.3,0.16,33,31.0,43,14,13.0,14.0,0.5,4.2,58.0,2017-11-01 00:00,,0.2,15,47,5,,,
平鎮,桃園市,33,,良好,1.7,0.26,36,31.0,26,7,10.0,11.0,1.1,2.5,51.0,2017-11-01 00:00,,0.4,5,36,2,,,
龍潭,桃園市,31,,良好,2.2,0.28,30,33.0,25,11,12.0,13.0,1.0,3.9,72.0,2017-11-01 00:00,,0.2,9,29,2,,,
湖口,新竹縣,31,,良好,4.1,0.2,31,34.0,30,5,13.0,13.0,0.9,4.1,56.0,2017-11-01 00:00,,0.2,6,32,3,,,
竹東,新竹縣,33,,良好,1.7,0.22,25,29.0,16,9,5.6,6.8,1.2,0.8,155.0,2017-11-01 00:00,,0.3,10,21,1,,,
新竹,新竹市,27,,良好,3.1,0.29,25,27.0,17,8,18.0,18.0,0.7,1.5,64.0,2017-11-01 00:00,,0.3,8,22,2,,,
頭份,苗栗縣,46,,良好,2.0,0.18,28,32.0,16,10,11.0,11.0,0.4,1.1,142.0,2017-11-01 00:00,,0.2,14,23,2,,,
苗栗,苗栗縣,51,細懸浮微粒,普通,1.2,0.22,21,28.0,25,14,11.0,12.0,1.3,0.7,28.0,2017-11-01 00:00,,0.3,16,30,1,,,
