SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,33.0,,良好,2.2,0.39,0.9,2.0,25.0,12,14.0,18.0,4.3,1.0,249.0,2017-07-04 03:00,,0.5,10.0,21.0,,,,
汐止,新北市,39.0,,良好,1.5,0.67,2,2.0,25.0,11,13.0,39.0,26.0,0.7,24.0,2017-07-04 03:00,,0.7,12.0,24.0,,,,
萬里,新北市,30.0,,良好,2.2,0.23,7.4,9.0,23.0,11,9.5,10.0,0.6,2.3,212.0,2017-07-04 03:00,,0.2,9.0,17.0,,,,
新店,新北市,29.0,,良好,1.3,0.12,10,9.0,36.0,12,3.7,4.7,1.0,1.9,155.0,2017-07-04 03:00,,0.3,9.0,29.0,,,,
板橋,新北市,24.0,,良好,2.0,0.43,1.8,1.0,26.0,3,17.0,24.0,6.9,1.1,282.0,2017-07-04 03:00,,0.7,4.0,26.0,,,,
新莊,新北市,28.0,,良好,10.0,0.47,1.2,1.0,30.0,9,18.0,35.0,17.0,1.3,19.0,2017-07-04 03:00,,0.7,9.0,29.0,,,,
菜寮,新北市,34.0,,良好,1.1,0.23,6.4,3.0,23.0,8,9.8,13.0,3.0,1.0,95.0,2017-07-04 03:00,,0.9,10.0,25.0,,,,
林口,新北市,37.0,,良好,3.5,0.2,9.6,10.0,24.0,13,16.0,18.0,1.5,1.4,257.0,2017-07-04 03:00,,0.3,11.0,27.0,,,,
淡水,新北市,29.0,,良好,2.4,0.61,1.9,3.0,33.0,6,17.0,30.0,13.0,,,2017-07-04 03:00,,0.7,5.0,31.0,,,,
士林,臺北市,27.0,,良好,2.8,0.44,2,2.0,21.0,6,17.0,22.0,5.7,0.7,191.0,2017-07-04 03:00,,0.6,8.0,22.0,,,,
基隆,基隆市,33.0,,良好,1.9,0.5,0.9,4.0,20.0,10,16.0,25.0,8.9,0.7,281.0,2017-07-04 01:00,,0.5,10.0,21.0,,,,
汐止,新北市,43.0,,良好,2.8,0.64,1.9,3.0,25.0,11,15.0,34.0,19.0,0.9,37.0,2017-07-04 01:00,,0.7,13.0,24.0,,,,
萬里,新北市,30.0,,良好,1.3,0.21,7.5,11.0,18.0,11,7.8,8.4,0.7,3.0,216.0,2017-07-04 01:00,,0.2,9.0,16.0,,,,
新店,新北市,27.0,,良好,1.5,0.17,9.7,9.0,32.0,7,5.1,7.0,2.0,2.2,171.0,2017-07-04 01:00,,0.4,8.0,26.0,,,,
土城,新北市,30.0,,良好,3.2,0.44,2.3,6.0,36.0,6,14.0,23.0,9.0,1.0,173.0,2017-07-04 01:00,,0.6,8.0,32.0,,,,
板橋,新北市,23.0,,良好,,0.54,0.9,3.0,31.0,7,,,,0.5,72.0,2017-07-04 01:00,,0.8,4.0,25.0,,,,
新莊,新北市,31.0,,良好,7.5,0.55,0.7,5.0,35.0,9,19.0,33.0,14.0,1.0,180.0,2017-07-04 01:00,,0.8,10.0,28.0,,,,
菜寮,新北市,35.0,,良好,2.7,0.65,1.4,3.0,32.0,13,18.0,32.0,14.0,1.8,144.0,2017-07-04 01:00,,1.1,11.0,23.0,,,,
林口,新北市,36.0,,良好,5.1,0.38,5.3,14.0,34.0,11,24.0,28.0,3.8,0.8,240.0,2017-07-04 01:00,,0.4,11.0,26.0,,,,
淡水,新北市,27.0,,良好,0.7,0.65,2,9.0,38.0,5,18.0,28.0,9.7,,,2017-07-04 01:00,,0.7,5.0,29.0,,,,
士林,臺北市,26.0,,良好,0.9,0.52,1.7,7.0,23.0,13,17.0,25.0,8.5,1.1,116.0,2017-07-04 01:00,,0.6,8.0,21.0,,,,
中山,臺北市,19.0,,良好,1.0,0.52,0.9,3.0,16.0,,18.0,31.0,12.0,1.3,146.0,2017-07-04 01:00,,0.9,,21.0,,,,
萬華,臺北市,,,設備維護,,,,,,,,,,,,2017-07-04 01:00,,,,,,,,
古亭,臺北市,25.0,,良好,1.8,0.3,6,7.0,19.0,3,8.6,13.0,4.2,1.0,181.0,2017-07-04 01:00,,0.5,8.0,14.0,,,,
松山,臺北市,34.0,,良好,2.5,0.66,2.8,4.0,29.0,16,18.0,33.0,15.0,0.7,109.0,2017-07-04 01:00,,0.8,11.0,21.0,,,,
大同,臺北市,37.0,,良好,2.4,1.34,-,,42.0,10,16.0,45.0,29.0,,,2017-07-04 01:00,,2.6,6.0,40.0,,,,
