SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,24.0,,良好,5.2,0.29,2.7,4.0,21.0,11,13.0,16.0,3.0,1.2,262.0,2017-07-03 03:00,,0.3,8.0,14.0,,,,
汐止,新北市,37.0,,良好,1.9,0.33,4.9,5.0,20.0,13,13.0,16.0,3.1,1.2,225.0,2017-07-03 03:00,,0.4,11.0,17.0,,,,
萬里,新北市,43.0,,良好,1.4,0.2,7.2,8.0,18.0,14,7.4,7.9,0.5,2.7,214.0,2017-07-03 03:00,,0.3,13.0,20.0,,,,
淡水,新北市,25.0,,良好,2.4,0.51,2.4,18.0,34.0,6,20.0,26.0,6.2,,,2017-07-03 00:00,,0.3,7.0,27.0,,,,
士林,臺北市,29.0,,良好,2.5,0.67,2,18.0,23.0,8,26.0,31.0,4.2,1.3,119.0,2017-07-03 00:00,,0.4,9.0,23.0,,,,
中山,臺北市,38.0,,良好,1.3,0.59,1.2,14.0,24.0,9,19.0,28.0,9.1,1.2,196.0,2017-07-03 00:00,,0.7,12.0,26.0,,,,
古亭,臺北市,45.0,,良好,1.2,0.29,7.5,18.0,22.0,7,9.8,14.0,4.3,1.6,171.0,2017-07-03 00:00,,0.5,14.0,19.0,,,,
松山,臺北市,40.0,,良好,2.3,0.58,2.6,13.0,11.0,5,15.0,35.0,20.0,1.2,204.0,2017-07-03 00:00,,0.7,12.0,17.0,,,,
大同,臺北市,41.0,,良好,3.3,2.27,-,,40.0,4,23.0,85.0,62.0,,,2017-07-03 00:00,,2.3,4.0,44.0,,,,
桃園,桃園市,25.0,,良好,4.4,0.52,4.3,20.0,32.0,8,27.0,29.0,1.6,0.7,133.0,2017-07-03 00:00,,0.4,7.0,18.0,,,,
大園,桃園市,41.0,,良好,2.0,0.4,14,23.0,25.0,13,15.0,15.0,0.2,1.5,172.0,2017-07-03 00:00,,0.3,13.0,25.0,,,,
觀音,桃園市,27.0,,良好,1.0,0.18,16,24.0,21.0,5,10.0,10.0,-0.1,1.8,229.0,2017-07-03 00:00,,0.2,8.0,29.0,,,,
平鎮,桃園市,36.0,,良好,2.0,0.49,5.6,15.0,18.0,11,23.0,26.0,2.3,1.3,173.0,2017-07-03 00:00,,0.4,11.0,31.0,,,,
龍潭,桃園市,41.0,,良好,1.3,0.37,5.2,15.0,22.0,ND,19.0,22.0,2.7,1.3,170.0,2017-07-03 00:00,,0.4,13.0,26.0,,,,
基隆,基隆市,19.0,,良好,2.5,0.26,1.9,7.0,8.0,6,11.0,16.0,5.1,1.0,230.0,2017-07-03 00:00,,0.2,6.0,11.0,,,,
汐止,新北市,37.0,,良好,2.1,0.4,4.2,10.0,17.0,12,13.0,19.0,7.0,0.9,216.0,2017-07-03 00:00,,0.4,12.0,17.0,,,,
萬里,新北市,37.0,,良好,3.3,0.26,9.4,12.0,17.0,15,8.7,9.5,0.8,2.6,210.0,2017-07-03 00:00,,0.2,11.0,20.0,,,,
新店,新北市,42.0,,良好,1.2,0.24,4.8,17.0,36.0,9,7.4,11.0,3.6,2.0,197.0,2017-07-03 00:00,,0.4,13.0,29.0,,,,
土城,新北市,34.0,,良好,2.3,0.42,4.2,18.0,30.0,12,18.0,22.0,4.0,1.1,159.0,2017-07-03 00:00,,0.4,10.0,25.0,,,,
板橋,新北市,,,設備維護,,,,,,,,,,,,2017-07-03 00:00,,,,,,,,
新莊,新北市,30.0,,良好,4.0,0.45,10,22.0,27.0,10,18.0,20.0,1.5,0.9,245.0,2017-07-03 00:00,,0.3,9.0,25.0,,,,
菜寮,新北市,41.0,,良好,2.2,0.64,7.2,18.0,23.0,15,23.0,26.0,2.5,1.3,185.0,2017-07-03 00:00,,0.5,13.0,23.0,,,,
林口,新北市,39.0,,良好,8.0,0.39,7.3,23.0,21.0,14,25.0,27.0,2.4,1.7,231.0,2017-07-03 00:00,,0.3,12.0,20.0,,,,
萬華,臺北市,,,設備維護,,,,,,,,,,,,2017-07-03 00:00,,,,,,,,
永和,新北市,43.0,,良好,2.2,0.68,2.9,14.0,25.0,12,17.0,28.0,11.0,1.0,130.0,2017-07-03 00:00,,0.8,13.0,24.0,,,,
復興,高雄市,21.0,,良好,1.5,0.32,12,11.0,22.0,2,8.1,10.0,2.1,2.0,85.0,2017-07-03 00:00,,0.4,5.0,23.0,,,,
埔里,南投縣,16.0,,良好,1.6,0.13,9.5,16.0,13.0,3,4.7,5.7,1.0,1.1,189.0,2017-07-03 00:00,,0.2,5.0,14.0,,,,
馬祖,連江縣,20.0,,良好,3.9,0.07,13,22.0,14.0,ND,6.2,6.6,0.4,3.2,208.0,2017-07-03 00:00,,0.1,1.0,19.0,,,,
金門,金門縣,25.0,,良好,3.5,0.08,17,21.0,15.0,7,7.1,8.0,0.9,1.3,182.0,2017-07-03 00:00,,0.1,8.0,15.0,,,,
馬公,澎湖縣,19.0,,良好,1.1,0.11,17,21.0,13.0,5,4.7,5.4,0.7,3.6,112.0,2017-07-03 00:00,,0.1,6.0,10.0,,,,
關山,臺東縣,26.0,,良好,3.7,,4.1,9.0,38.0,7,4.2,5.2,1.0,0.9,107.0,2017-07-03 00:00,,,8.0,28.0,,,,
麥寮,雲林縣,44.0,,良好,1.5,0.11,13,17.0,21.0,14,4.9,6.7,1.9,1.8,60.0,2017-07-03 00:00,,0.1,14.0,23.0,,,,
基隆,基隆市,30.0,,良好,3.4,0.29,3.7,3.0,12.0,10,14.0,16.0,2.4,1.9,232.0,2017-07-03 05:00,,0.3,9.0,17.0,,,,
汐止,新北市,36.0,,良好,2.6,0.31,5.3,4.0,21.0,10,13.0,15.0,1.7,0.9,218.0,2017-07-03 05:00,,0.4,11.0,19.0,,,,
萬里,新北市,36.0,,良好,3.5,0.19,6.6,8.0,12.0,7,13.0,13.0,0.6,2.3,218.0,2017-07-03 05:00,,0.2,11.0,18.0,,,,
湖口,新竹縣,27.0,,良好,1.0,0.19,19,22.0,15.0,6,7.2,9.1,1.9,1.6,178.0,2017-07-03 00:00,,0.2,8.0,17.0,,,,
竹東,新竹縣,30.0,,良好,0.4,0.12,9.1,14.0,21.0,9,4.2,4.8,0.6,1.2,128.0,2017-07-03 00:00,,0.2,9.0,18.0,,,,
新竹,新竹市,17.0,,良好,1.4,0.25,15,18.0,17.0,3,14.0,14.0,0.4,1.4,174.0,2017-07-03 00:00,,0.3,5.0,16.0,,,,
頭份,苗栗縣,22.0,,良好,1.2,0.14,14,20.0,13.0,5,4.7,4.8,0.0,1.9,123.0,2017-07-03 00:00,,0.2,7.0,17.0,,,,
苗栗,苗栗縣,19.0,,良好,0.8,0.17,12,12.0,16.0,4,5.5,6.8,1.3,2.6,185.0,2017-07-03 00:00,,0.3,5.0,21.0,,,,
三義,苗栗縣,17.0,,良好,0.9,0.08,15,18.0,16.0,ND,2.6,3.1,0.5,1.2,199.0,2017-07-03 00:00,,0.1,3.0,12.0,,,,
豐原,臺中市,21.0,,良好,,0.1,15,15.0,18.0,4,2.3,3.4,1.1,1.5,136.0,2017-07-03 00:00,,0.2,7.0,18.0,,,,
沙鹿,臺中市,34.0,,良好,1.3,0.07,16,12.0,9.0,4,5.2,6.4,1.3,4.1,138.0,2017-07-03 00:00,,0.2,11.0,15.0,,,,
大里,臺中市,17.0,,良好,1.2,0.09,17,14.0,12.0,ND,4.0,6.0,2.0,2.1,106.0,2017-07-03 00:00,,0.2,5.0,14.0,,,,
忠明,臺中市,27.0,,良好,1.2,0.15,17,12.0,16.0,3,4.3,4.7,0.4,1.6,102.0,2017-07-03 00:00,,0.3,8.0,16.0,,,,
西屯,臺中市,26.0,,良好,2.4,0.11,15,13.0,15.0,8,6.9,8.3,1.4,1.7,187.0,2017-07-03 00:00,,0.2,8.0,14.0,,,,
彰化,彰化縣,29.0,,良好,1.3,0.11,18,15.0,15.0,11,1.1,3.3,2.2,0.9,165.0,2017-07-03 00:00,,0.2,9.0,19.0,,,,
線西,彰化縣,38.0,,良好,1.9,0.14,15,16.0,21.0,7,5.1,6.0,0.8,2.4,140.0,2017-07-03 00:00,,0.2,12.0,20.0,,,,
二林,彰化縣,36.0,,良好,2.7,0.1,17,17.0,25.0,6,4.7,5.0,0.4,1.9,134.0,2017-07-03 00:00,,0.1,11.0,27.0,,,,
南投,南投縣,14.0,,良好,0.7,0.11,16,14.0,8.0,ND,3.6,4.5,0.9,1.9,246.0,2017-07-03 00:00,,0.3,3.0,15.0,,,,
斗六,雲林縣,34.0,,良好,1.3,0.13,13,15.0,7.0,12,6.8,8.5,1.8,0.9,75.0,2017-07-03 00:00,,0.2,11.0,14.0,,,,
崙背,雲林縣,21.0,,良好,1.8,0.1,15,17.0,17.0,5,6.2,7.2,1.0,2.1,82.0,2017-07-03 00:00,,0.1,7.0,16.0,,,,
新港,嘉義縣,16.0,,良好,2.8,0.16,9.8,15.0,18.0,3,8.3,10.0,1.9,1.5,79.0,2017-07-03 00:00,,0.2,5.0,17.0,,,,
朴子,嘉義縣,24.0,,良好,1.2,0.09,17,20.0,18.0,8,5.4,6.7,1.3,1.8,123.0,2017-07-03 00:00,,0.1,7.0,23.0,,,,
臺西,雲林縣,42.0,,良好,1.5,0.12,14,18.0,14.0,7,6.7,8.0,1.3,2.2,106.0,2017-07-03 00:00,,0.1,13.0,23.0,,,,
嘉義,嘉義市,15.0,,良好,2.2,0.26,10,16.0,10.0,6,7.9,8.3,0.4,1.2,68.0,2017-07-03 00:00,,0.2,5.0,15.0,,,,
新營,臺南市,16.0,,良好,1.6,0.14,14,17.0,8.0,ND,4.5,5.2,0.7,1.1,85.0,2017-07-03 00:00,,0.1,4.0,11.0,,,,
善化,臺南市,26.0,,良好,3.5,0.1,12,15.0,8.0,5,5.2,5.9,0.7,0.9,132.0,2017-07-03 00:00,,0.1,8.0,13.0,,,,
安南,臺南市,23.0,,良好,1.5,0.13,12,14.0,17.0,5,8.9,10.0,1.1,2.1,122.0,2017-07-03 00:00,,0.1,7.0,16.0,,,,
臺南,臺南市,13.0,,良好,0.5,0.18,17,14.0,9.0,ND,6.4,7.1,0.7,1.4,91.0,2017-07-03 00:00,,0.2,2.0,14.0,,,,
美濃,高雄市,37.0,,良好,0.4,0.15,14,20.0,8.0,11,2.3,2.8,0.4,0.5,60.0,2017-07-03 00:00,,0.2,11.0,8.0,,,,
橋頭,高雄市,22.0,,良好,2.5,0.13,11,15.0,15.0,6,7.0,8.3,1.2,2.0,60.0,2017-07-03 00:00,,0.1,7.0,18.0,,,,
仁武,高雄市,28.0,,良好,2.0,0.15,19,16.0,16.0,ND,3.6,4.2,0.6,1.7,75.0,2017-07-03 00:00,,0.2,5.0,30.0,,,,
鳳山,高雄市,28.0,,良好,2.1,0.19,15,12.0,21.0,3,5.9,6.9,1.0,1.6,58.0,2017-07-03 00:00,,0.3,8.0,30.0,,,,
大寮,高雄市,19.0,,良好,7.6,0.16,12,15.0,10.0,5,7.8,9.3,1.5,1.9,58.0,2017-07-03 00:00,,0.2,6.0,18.0,,,,
