SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
大同,臺北市,37,nan,良好,1.8,0.69,-,nan,14.0,5,15.0,27.0,12.0,nan,nan,2016-11-27 06:00,,nan,7,32,,,,
桃園,桃園市,29,nan,良好,2.5,0.44,16,nan,11.0,ND,11.0,12.0,1.5,0.8,49.0,2016-11-27 06:00,,nan,9,27,,,,
基隆,基隆市,25,nan,良好,1.0,0.34,34,29.0,19.0,11,6.0,6.8,0.7,2.0,97.0,2016-11-27 16:00,,0.4,6,14,,,,
汐止,新北市,29,nan,良好,0.7,0.4,28,22.0,24.0,nan,11.0,12.0,1.0,1.5,45.0,2016-11-27 16:00,,0.47,9,16,,,,
萬里,新北市,48,nan,良好,2.1,0.35,38,34.0,47.0,8,4.6,5.9,1.2,13.0,28.0,2016-11-27 16:00,,0.38,5,52,,,,
新店,新北市,39,nan,良好,1.2,0.52,22,21.0,22.0,20,17.0,20.0,2.8,1.2,18.0,2016-11-27 16:00,,0.5,12,11,,,,
土城,新北市,19,nan,良好,2.3,0.61,16,22.0,27.0,8,21.0,23.0,2.2,0.9,315.0,2016-11-27 16:00,,0.52,6,18,,,,
板橋,新北市,24,nan,良好,1.2,0.69,12,17.0,32.0,13,25.0,32.0,6.7,2.2,333.0,2016-11-27 16:00,,0.61,7,24,,,,
新莊,新北市,18,nan,良好,1.9,0.44,19,20.0,21.0,8,17.0,19.0,2.3,3.5,25.0,2016-11-27 16:00,,0.49,5,16,,,,
菜寮,新北市,26,nan,良好,1.6,0.56,19,19.0,21.0,13,20.0,22.0,2.2,1.1,283.0,2016-11-27 16:00,,0.61,8,18,,,,
林口,新北市,36,nan,良好,1.4,0.37,31,25.0,38.0,20,7.6,9.2,1.6,5.4,51.0,2016-11-27 16:00,,0.4,11,28,,,,
淡水,新北市,29,nan,良好,1.8,0.38,29,25.0,34.0,16,8.1,10.0,2.2,nan,nan,2016-11-27 16:00,,0.41,9,24,,,,
士林,臺北市,23,nan,良好,1.7,0.43,28,22.0,12.0,3,12.0,12.0,0.9,1.3,232.0,2016-11-27 16:00,,0.47,7,17,,,,
中山,臺北市,27,nan,良好,1.8,0.63,12,18.0,28.0,14,28.0,39.0,11.0,1.1,147.0,2016-11-27 16:00,,0.63,7,17,,,,
萬華,臺北市,30,nan,良好,0.8,0.57,11,15.0,22.0,14,28.0,36.0,7.8,0.8,62.0,2016-11-27 16:00,,0.56,8,18,,,,
古亭,臺北市,29,nan,良好,1.5,0.57,18,19.0,26.0,14,23.0,27.0,4.2,0.9,353.0,2016-11-27 16:00,,0.57,9,17,,,,
松山,臺北市,18,nan,良好,1.3,0.45,25,21.0,21.0,10,15.0,17.0,2.2,1.5,59.0,2016-11-27 16:00,,0.48,5,14,,,,
大同,臺北市,32,nan,良好,2.9,1.17,-,nan,33.0,15,34.0,91.0,58.0,nan,nan,2016-11-27 16:00,,1.16,6,25,,,,
桃園,桃園市,20,nan,良好,1.8,0.43,26,24.0,14.0,12,12.0,13.0,1.7,1.5,64.0,2016-11-27 16:00,,0.49,6,15,,,,
湖口,新竹縣,42,nan,良好,2.7,0.4,21,nan,26.0,9,nan,nan,nan,3.9,51.0,2016-11-27 06:00,,nan,13,32,,,,
馬祖,連江縣,14,nan,良好,1.0,0.38,17,nan,13.0,5,5.7,6.0,0.3,4.6,69.0,2016-11-27 06:00,,nan,4,15,,,,
金門,金門縣,23,nan,良好,3.8,0.41,11,nan,20.0,5,12.0,12.0,0.8,2.5,47.0,2016-11-27 06:00,,nan,7,22,,,,
馬公,澎湖縣,36,nan,良好,1.6,0.32,22,nan,14.0,8,6.7,7.6,1.0,6.9,87.0,2016-11-27 06:00,,nan,11,19,,,,
關山,臺東縣,16,nan,良好,1.3,nan,15,nan,6.0,4,7.2,7.9,0.7,2.7,52.0,2016-11-27 06:00,,nan,5,17,,,,
麥寮,雲林縣,57,細懸浮微粒,普通,2.0,0.34,20,nan,36.0,9,11.0,12.0,0.9,8.4,71.0,2016-11-27 06:00,,nan,18,49,,,,
大園,桃園市,23,nan,良好,1.5,0.37,32,24.0,26.0,12,10.0,12.0,1.8,7.4,40.0,2016-11-27 16:00,,0.42,6,25,,,,
觀音,桃園市,29,nan,良好,1.3,0.38,33,27.0,35.0,11,6.5,7.7,1.1,7.9,48.0,2016-11-27 16:00,,0.48,9,27,,,,
平鎮,桃園市,19,nan,良好,1.4,0.46,22,23.0,32.0,14,17.0,18.0,1.1,3.4,48.0,2016-11-27 16:00,,0.51,5,19,,,,
龍潭,桃園市,21,nan,良好,1.7,0.51,20,21.0,22.0,16,14.0,17.0,2.9,4.1,54.0,2016-11-27 16:00,,0.47,4,23,,,,
湖口,新竹縣,29,nan,良好,2.2,0.4,31,27.0,30.0,18,8.8,10.0,1.6,8.1,49.0,2016-11-27 16:00,,0.46,9,21,,,,
竹東,新竹縣,32,nan,良好,1.0,0.46,24,25.0,18.0,7,12.0,13.0,1.5,3.8,49.0,2016-11-27 16:00,,0.42,10,15,,,,
新竹,新竹市,27,nan,良好,1.3,0.48,24,23.0,43.0,11,14.0,17.0,3.1,3.7,75.0,2016-11-27 16:00,,0.48,4,29,,,,
頭份,苗栗縣,32,nan,良好,2.6,0.42,26,26.0,27.0,19,12.0,14.0,1.8,4.1,74.0,2016-11-27 16:00,,0.46,10,17,,,,
苗栗,苗栗縣,24,nan,良好,2.7,0.5,21,26.0,31.0,14,15.0,18.0,2.6,4.0,52.0,2016-11-27 16:00,,0.44,7,26,,,,
三義,苗栗縣,28,nan,良好,1.1,0.39,21,33.0,20.0,6,14.0,15.0,1.0,5.3,51.0,2016-11-27 16:00,,0.33,3,14,,,,
豐原,臺中市,33,nan,良好,1.8,0.29,22,39.0,3.0,nan,13.0,14.0,1.7,2.2,66.0,2016-11-27 16:00,,0.32,9,15,,,,
沙鹿,臺中市,28,nan,良好,1.3,0.41,23,33.0,17.0,15,15.0,16.0,0.9,4.9,52.0,2016-11-27 16:00,,0.35,6,14,,,,
大里,臺中市,26,nan,良好,1.2,0.34,16,31.0,6.0,4,19.0,21.0,2.1,1.7,40.0,2016-11-27 16:00,,0.4,5,16,,,,
基隆,基隆市,17,nan,良好,1.0,0.32,28,nan,13.0,4,3.8,4.2,0.5,1.2,101.0,2016-11-27 06:00,,nan,5,13,,,,
汐止,新北市,32,nan,良好,1.1,0.36,24,nan,18.0,6,6.7,7.2,0.5,1.5,46.0,2016-11-27 06:00,,nan,10,17,,,,
萬里,新北市,31,nan,良好,2.5,0.32,32,nan,68.0,8,3.2,3.7,0.4,7.8,29.0,2016-11-27 06:00,,nan,4,34,,,,
新店,新北市,42,nan,良好,1.2,0.4,23,nan,11.0,7,7.4,8.3,0.9,0.8,162.0,2016-11-27 06:00,,nan,13,14,,,,
土城,新北市,29,nan,良好,1.4,0.39,22,nan,16.0,3,7.6,8.5,1.0,1.1,103.0,2016-11-27 06:00,,nan,9,24,,,,
板橋,新北市,29,nan,良好,1.1,0.44,18,nan,25.0,2,10.0,12.0,1.8,1.4,75.0,2016-11-27 06:00,,nan,9,28,,,,
新莊,新北市,23,nan,良好,1.6,0.41,19,nan,15.0,3,11.0,13.0,1.9,2.2,49.0,2016-11-27 06:00,,nan,7,19,,,,
