SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,60,細懸浮微粒,普通,2.1,0.45,3.4,2.0,33.0,24,14.0,29.0,15.0,1.2,278.0,2017-08-14 07:00,,0.3,19,24,,,,
汐止,新北市,60,細懸浮微粒,普通,2.5,0.47,4.2,4.0,31.0,19,12.0,38.0,26.0,1.1,272.0,2017-08-14 07:00,,0.3,19,30,,,,
萬里,新北市,62,細懸浮微粒,普通,3.5,0.27,4.2,6.0,22.0,18,7.7,16.0,8.0,1.5,169.0,2017-08-14 07:00,,0.2,20,26,,,,
新店,新北市,65,細懸浮微粒,普通,1.6,0.28,9.5,9.0,43.0,24,8.6,12.0,3.5,1.8,207.0,2017-08-14 07:00,,0.2,21,39,,,,
土城,新北市,45,,良好,3.9,0.37,4.3,4.0,36.0,15,11.0,27.0,16.0,1.7,287.0,2017-08-14 07:00,,0.3,14,31,,,,
板橋,新北市,44,,良好,19.0,0.37,2.6,4.0,39.0,13,13.0,26.0,14.0,1.8,252.0,2017-08-14 07:00,,0.3,14,33,,,,
新莊,新北市,46,,良好,4.0,0.32,6.9,7.0,44.0,19,12.0,17.0,5.0,0.9,213.0,2017-08-14 07:00,,0.2,14,30,,,,
菜寮,新北市,48,,良好,4.0,0.41,5.3,7.0,36.0,14,15.0,29.0,14.0,1.6,179.0,2017-08-14 07:00,,0.3,15,33,,,,
林口,新北市,31,,良好,2.5,0.22,7.2,9.0,18.0,8,13.0,27.0,14.0,3.7,232.0,2017-08-14 07:00,,0.2,10,27,,,,
淡水,新北市,49,,良好,1.9,0.14,8.9,7.0,22.0,19,6.6,8.4,1.8,,,2017-08-14 07:00,,0.2,15,21,,,,
士林,臺北市,54,細懸浮微粒,普通,2.8,0.34,5.7,3.0,23.0,13,13.0,23.0,11.0,0.8,288.0,2017-08-14 07:00,,0.4,17,30,,,,
中山,臺北市,50,,良好,2.2,0.35,7.3,5.0,61.0,9,10.0,14.0,3.9,0.8,240.0,2017-08-14 07:00,,0.4,15,34,,,,
萬華,臺北市,38,,良好,2.7,0.45,6.7,6.0,34.0,11,12.0,20.0,8.1,0.7,158.0,2017-08-14 07:00,,0.4,12,31,,,,
古亭,臺北市,45,,良好,1.5,0.32,8.7,6.0,25.0,17,9.5,17.0,7.0,1.6,171.0,2017-08-14 07:00,,0.3,14,24,,,,
松山,臺北市,52,細懸浮微粒,普通,2.5,0.37,5.5,5.0,22.0,10,11.0,25.0,14.0,1.5,240.0,2017-08-14 07:00,,0.3,16,23,,,,
大同,臺北市,48,,良好,2.5,1.17,-,,38.0,7,15.0,49.0,34.0,,,2017-08-14 07:00,,1.0,11,52,,,,
桃園,桃園市,46,,良好,3.3,0.25,6.7,7.0,31.0,15,11.0,16.0,5.5,1.5,255.0,2017-08-14 07:00,,0.2,14,29,,,,
大園,桃園市,28,,良好,4.0,0.25,8.5,8.0,30.0,10,9.4,14.0,5.0,3.3,193.0,2017-08-14 07:00,,0.2,9,26,,,,
觀音,桃園市,30,,良好,5.0,0.2,5.6,6.0,24.0,10,8.9,13.0,4.1,3.2,205.0,2017-08-14 07:00,,0.2,9,23,,,,
平鎮,桃園市,33,,良好,3.0,0.2,7.3,8.0,28.0,6,9.0,15.0,6.2,3.8,220.0,2017-08-14 07:00,,0.2,10,30,,,,
龍潭,桃園市,47,,良好,2.6,0.2,5.7,6.0,28.0,9,7.1,13.0,5.9,1.8,233.0,2017-08-14 07:00,,0.2,15,32,,,,
湖口,新竹縣,39,,良好,4.2,0.19,4.7,5.0,24.0,15,15.0,28.0,14.0,2.7,209.0,2017-08-14 07:00,,0.1,12,21,,,,
竹東,新竹縣,34,,良好,1.6,0.26,7.1,6.0,24.0,15,4.9,8.2,3.3,0.9,63.0,2017-08-14 07:00,,0.2,10,22,,,,
新竹,新竹市,21,,良好,2.5,0.3,4.4,6.0,19.0,7,11.0,20.0,8.2,1.1,197.0,2017-08-14 07:00,,0.2,7,16,,,,
頭份,苗栗縣,39,,良好,5.2,0.21,5.3,7.0,28.0,17,10.0,20.0,10.0,2.3,231.0,2017-08-14 07:00,,0.1,12,20,,,,
苗栗,苗栗縣,33,,良好,2.2,0.21,5.2,10.0,31.0,16,7.2,12.0,4.6,2.9,193.0,2017-08-14 07:00,,0.1,10,24,,,,
三義,苗栗縣,19,,良好,2.2,0.17,8.4,13.0,15.0,7,5.2,7.8,2.5,3.8,191.0,2017-08-14 07:00,,0.1,6,16,,,,
豐原,臺中市,33,,良好,2.9,0.17,9.9,12.0,12.0,18,5.0,8.3,3.3,3.6,204.0,2017-08-14 07:00,,0.1,10,14,,,,
沙鹿,臺中市,19,,良好,2.3,0.25,7.9,8.0,16.0,9,8.8,13.0,4.5,2.7,187.0,2017-08-14 07:00,,0.2,6,13,,,,
大里,臺中市,33,,良好,2.3,0.29,3.5,6.0,10.0,9,7.8,17.0,9.6,1.8,224.0,2017-08-14 07:00,,0.2,10,22,,,,
忠明,臺中市,19,,良好,,0.16,6.7,8.0,12.0,6,7.1,12.0,5.0,1.2,151.0,2017-08-14 07:00,,0.1,6,11,,,,
西屯,臺中市,28,,良好,3.3,0.23,5.4,7.0,33.0,5,10.0,23.0,13.0,3.0,174.0,2017-08-14 07:00,,0.2,9,23,,,,
彰化,彰化縣,22,,良好,4.2,0.19,4.8,6.0,17.0,12,6.5,12.0,5.8,3.8,189.0,2017-08-14 07:00,,0.1,7,22,,,,
線西,彰化縣,43,,良好,1.7,0.14,10,8.0,20.0,12,4.9,7.1,2.3,3.3,200.0,2017-08-14 07:00,,0.1,13,19,,,,
二林,彰化縣,27,,良好,2.5,0.14,8.8,3.0,20.0,9,6.5,8.1,1.5,2.8,180.0,2017-08-14 07:00,,0.1,8,18,,,,
南投,南投縣,25,,良好,1.9,0.21,3.6,6.0,21.0,8,6.7,14.0,7.6,2.3,151.0,2017-08-14 07:00,,0.1,8,20,,,,
斗六,雲林縣,39,,良好,3.3,0.26,6.4,7.0,17.0,10,5.8,11.0,4.8,1.1,172.0,2017-08-14 07:00,,0.1,12,19,,,,
崙背,雲林縣,29,,良好,2.2,0.12,6.8,6.0,23.0,9,6.8,12.0,4.8,2.1,167.0,2017-08-14 07:00,,0.1,9,18,,,,
新港,嘉義縣,19,,良好,2.5,0.21,3.2,4.0,16.0,4,11.0,23.0,13.0,1.8,151.0,2017-08-14 07:00,,0.1,6,18,,,,
朴子,嘉義縣,35,,良好,2.7,0.24,5.8,7.0,29.0,15,5.4,14.0,8.8,1.7,150.0,2017-08-14 07:00,,0.2,11,28,,,,
臺西,雲林縣,32,,良好,1.4,0.13,10,8.0,23.0,10,4.7,7.7,3.1,2.7,212.0,2017-08-14 07:00,,0.1,10,22,,,,
嘉義,嘉義市,33,,良好,1.8,0.2,5.1,5.0,31.0,3,3.9,6.4,2.5,1.3,99.0,2017-08-14 07:00,,0.1,10,24,,,,
新營,臺南市,31,,良好,3.3,0.21,2.8,5.0,30.0,6,4.8,9.3,4.6,0.7,150.0,2017-08-14 07:00,,0.2,6,34,,,,
善化,臺南市,18,,良好,3.5,0.13,4.4,4.0,16.0,ND,4.6,9.0,4.5,1.3,106.0,2017-08-14 07:00,,0.1,3,19,,,,
安南,臺南市,28,,良好,3.9,0.3,7,8.0,28.0,8,11.0,23.0,11.0,2.0,94.0,2017-08-14 07:00,,0.2,7,30,,,,
臺南,臺南市,17,,良好,4.6,0.24,7.3,7.0,21.0,9,8.1,10.0,2.4,1.0,187.0,2017-08-14 07:00,,0.2,4,18,,,,
美濃,高雄市,34,,良好,1.3,0.18,4.5,4.0,14.0,8,1.9,4.1,2.2,0.8,97.0,2017-08-14 07:00,,0.1,11,14,,,,
橋頭,高雄市,47,,良好,0.4,0.35,3.8,4.0,49.0,19,7.0,31.0,24.0,1.3,91.0,2017-08-14 07:00,,0.2,15,38,,,,
仁武,高雄市,29,,良好,8.8,0.31,6.3,7.0,40.0,15,8.6,21.0,12.0,0.8,72.0,2017-08-14 07:00,,0.2,9,27,,,,
鳳山,高雄市,26,,良好,3.0,0.45,4.7,5.0,29.0,3,10.0,18.0,7.5,2.1,65.0,2017-08-14 07:00,,0.2,4,28,,,,
大寮,高雄市,39,,良好,5.2,0.25,2.4,2.0,25.0,9,7.7,20.0,12.0,1.1,70.0,2017-08-14 07:00,,0.2,12,22,,,,
