SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,30,,良好,1.9,0.32,1.5,2.0,22.0,7,9.0,12.0,3.4,0.7,179.0,2017-06-20 04:00,,0.5,9,22,,,,
汐止,新北市,41,,良好,1.6,0.47,1,1.0,22.0,9,11.0,26.0,15.0,0.7,67.0,2017-06-20 04:00,,0.7,13,25,,,,
萬里,新北市,30,,良好,1.6,0.16,11,10.0,21.0,6,2.9,4.3,1.4,3.1,177.0,2017-06-20 04:00,,0.3,9,25,,,,
新店,新北市,32,,良好,1.5,0.12,5.7,6.0,24.0,7,3.5,5.1,1.5,2.0,40.0,2017-06-20 04:00,,0.3,10,22,,,,
土城,新北市,37,,良好,3.3,0.49,1.8,2.0,30.0,9,12.0,28.0,16.0,0.8,341.0,2017-06-20 04:00,,0.7,12,31,,,,
板橋,新北市,30,,良好,6.0,0.46,0.8,1.0,32.0,7,13.0,29.0,16.0,0.6,41.0,2017-06-20 04:00,,0.8,9,30,,,,
新莊,新北市,44,,良好,4.9,0.61,0.5,1.0,32.0,11,12.0,31.0,19.0,1.3,28.0,2017-06-20 04:00,,1.0,14,34,,,,
菜寮,新北市,24,,良好,0.9,0.22,2.9,1.0,15.0,3,6.5,9.5,3.0,0.8,149.0,2017-06-20 04:00,,0.8,8,23,,,,
林口,新北市,36,,良好,2.7,0.25,6.6,5.0,11.0,7,15.0,22.0,6.1,2.3,140.0,2017-06-20 04:00,,0.5,11,22,,,,
淡水,新北市,48,,良好,2.5,0.34,2,3.0,30.0,9,8.9,13.0,3.8,,,2017-06-20 04:00,,1.0,15,36,,,,
士林,臺北市,40,,良好,1.2,0.53,1.5,2.0,15.0,5,15.0,24.0,8.4,0.8,133.0,2017-06-20 04:00,,0.9,12,29,,,,
基隆,基隆市,33,,良好,1.9,0.56,1.9,4.0,19,7,14.0,23.0,9.1,0.8,266.0,2017-06-20 00:00,,0.7,10,20,,,,
汐止,新北市,52,細懸浮微粒,普通,2.5,0.85,1,3.0,25,17,19.0,39.0,20.0,0.6,180.0,2017-06-20 00:00,,0.9,16,25,,,,
萬里,新北市,46,,良好,2.6,0.27,9.2,8.0,24,10,7.0,8.5,1.5,3.1,184.0,2017-06-20 00:00,,0.5,14,27,,,,
新店,新北市,41,,良好,0.9,0.29,4.4,11.0,25,10,8.8,14.0,5.1,1.7,39.0,2017-06-20 00:00,,0.5,13,25,,,,
