SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
土城,新北市,56.0,細懸浮微粒,普通,6.3,0.56,2.7,5.0,42.0,19,23.0,38.0,15.0,1.1,131.0,2017-06-23 01:00,,0.6,18.0,41.0,,,,
板橋,新北市,65.0,細懸浮微粒,普通,4.3,0.5,11,6.0,43.0,21,20.0,21.0,1.3,2.0,119.0,2017-06-23 01:00,,0.9,21.0,45.0,,,,
新莊,新北市,33.0,,良好,4.8,0.92,1.6,6.0,35.0,16,34.0,50.0,16.0,1.6,27.0,2017-06-23 01:00,,0.6,10.0,28.0,,,,
菜寮,新北市,57.0,細懸浮微粒,普通,3.7,0.54,6.1,6.0,38.0,20,23.0,26.0,3.6,1.1,142.0,2017-06-23 01:00,,0.9,18.0,35.0,,,,
林口,新北市,35.0,,良好,9.6,0.7,2.5,6.0,40.0,20,37.0,42.0,5.9,1.0,331.0,2017-06-23 01:00,,0.4,11.0,26.0,,,,
淡水,新北市,39.0,,良好,4.2,0.67,2,6.0,33.0,11,24.0,34.0,10.0,,,2017-06-23 01:00,,0.4,12.0,29.0,,,,
士林,臺北市,39.0,,良好,4.3,0.53,4.2,6.0,16.0,14,25.0,28.0,2.9,1.1,165.0,2017-06-23 01:00,,0.5,12.0,21.0,,,,
中山,臺北市,60.0,細懸浮微粒,普通,4.5,0.72,2.7,7.0,44.0,19,30.0,44.0,14.0,0.9,143.0,2017-06-23 01:00,,1.0,19.0,43.0,,,,
萬華,臺北市,59.0,細懸浮微粒,普通,1.8,0.46,7.6,4.0,31.0,15,17.0,21.0,4.2,1.0,161.0,2017-06-23 01:00,,0.8,19.0,35.0,,,,
古亭,臺北市,61.0,細懸浮微粒,普通,3.6,0.51,5.8,8.0,31.0,19,21.0,25.0,4.0,1.5,210.0,2017-06-23 01:00,,0.7,20.0,38.0,,,,
松山,臺北市,66.0,細懸浮微粒,普通,3.8,0.64,2.6,6.0,28.0,13,26.0,44.0,18.0,0.8,86.0,2017-06-23 01:00,,0.7,21.0,35.0,,,,
大同,臺北市,50.0,,良好,4.2,1.23,-,,59.0,19,28.0,53.0,25.0,,,2017-06-23 01:00,,1.9,14.0,54.0,,,,
桃園,桃園市,37.0,,良好,8.2,0.59,1.5,6.0,39.0,11,25.0,33.0,8.0,0.7,77.0,2017-06-23 01:00,,0.4,11.0,27.0,,,,
大園,桃園市,35.0,,良好,4.0,0.28,4.9,11.0,32.0,6,14.0,16.0,2.5,1.7,199.0,2017-06-23 01:00,,0.2,11.0,25.0,,,,
基隆,基隆市,71.0,細懸浮微粒,普通,2.3,0.33,7.4,14.0,26.0,18,15.0,16.0,1.6,0.5,298.0,2017-06-23 01:00,,0.4,24.0,33.0,,,,
汐止,新北市,69.0,細懸浮微粒,普通,2.4,0.44,1.7,8.0,33.0,20,18.0,30.0,13.0,0.8,20.0,2017-06-23 01:00,,0.5,23.0,37.0,,,,
萬里,新北市,51.0,細懸浮微粒,普通,2.6,0.31,11,17.0,29.0,16,13.0,15.0,2.1,1.6,211.0,2017-06-23 01:00,,0.2,16.0,29.0,,,,
新店,新北市,,,設備維護,,,,,,,,,,,,2017-06-23 01:00,,,,,,,,
萬里,新北市,53.0,細懸浮微粒,普通,2.4,0.33,5.5,25.0,25.0,12,14.0,16.0,1.9,2.4,203.0,2017-06-23 00:00,,0.2,16.0,30.0,,,,
土城,新北市,54.0,細懸浮微粒,普通,6.3,0.6,2.2,7.0,42.0,17,25.0,40.0,15.0,1.2,317.0,2017-06-23 00:00,,0.6,17.0,41.0,,,,
板橋,新北市,64.0,細懸浮微粒,普通,6.0,0.65,7.8,6.0,50.0,21,26.0,30.0,3.9,0.6,45.0,2017-06-23 00:00,,0.9,21.0,44.0,,,,
新莊,新北市,30.0,,良好,5.1,0.8,1.6,10.0,29.0,12,29.0,40.0,11.0,1.0,130.0,2017-06-23 00:00,,0.5,9.0,27.0,,,,
菜寮,新北市,56.0,細懸浮微粒,普通,5.3,0.98,1.3,9.0,39.0,21,34.0,48.0,13.0,1.6,151.0,2017-06-23 00:00,,0.9,18.0,34.0,,,,
林口,新北市,32.0,,良好,11.0,0.64,1.4,9.0,33.0,16,34.0,40.0,6.3,1.9,147.0,2017-06-23 00:00,,0.3,9.0,23.0,,,,
淡水,新北市,39.0,,良好,3.8,0.75,2.2,8.0,30.0,16,28.0,35.0,7.0,,,2017-06-23 00:00,,0.3,12.0,28.0,,,,
士林,臺北市,38.0,,良好,4.2,0.63,2.1,8.0,19.0,10,26.0,34.0,7.9,1.2,144.0,2017-06-23 00:00,,0.5,12.0,22.0,,,,
中山,臺北市,60.0,細懸浮微粒,普通,5.4,1.04,1.5,10.0,41.0,16,38.0,69.0,31.0,1.2,355.0,2017-06-23 00:00,,0.9,19.0,43.0,,,,
基隆,基隆市,76.0,細懸浮微粒,普通,2.5,0.43,6.3,20.0,27.0,19,18.0,20.0,2.0,0.6,272.0,2017-06-23 00:00,,0.4,26.0,35.0,,,,
汐止,新北市,71.0,細懸浮微粒,普通,1.9,0.52,1.7,11.0,36.0,24,21.0,34.0,14.0,1.0,50.0,2017-06-23 00:00,,0.5,24.0,38.0,,,,
新店,新北市,,,設備維護,,,,,,,,,,,,2017-06-23 00:00,,,,,,,,
麥寮,雲林縣,65.0,細懸浮微粒,普通,2.8,0.19,9.5,14.0,57.0,30,7.8,9.9,2.1,1.6,169.0,2017-06-23 00:00,,0.2,21.0,39.0,,,,
基隆,基隆市,68.0,細懸浮微粒,普通,1.8,0.31,4.4,9.0,32.0,19,13.0,14.0,1.1,0.5,305.0,2017-06-23 02:00,,0.4,22.0,32.0,,,,
汐止,新北市,67.0,細懸浮微粒,普通,2.1,0.5,1.4,6.0,32.0,20,16.0,28.0,11.0,1.0,28.0,2017-06-23 02:00,,0.5,22.0,36.0,,,,
萬里,新北市,54.0,細懸浮微粒,普通,2.2,0.2,17,17.0,36.0,24,6.3,6.9,0.6,3.1,211.0,2017-06-23 02:00,,0.2,17.0,30.0,,,,
土城,新北市,58.0,細懸浮微粒,普通,4.3,0.46,2.3,3.0,43.0,20,21.0,29.0,7.7,1.1,160.0,2017-06-23 02:00,,0.6,18.0,42.0,,,,
板橋,新北市,64.0,細懸浮微粒,普通,4.5,0.42,8.7,6.0,41.0,20,19.0,21.0,2.0,1.3,235.0,2017-06-23 02:00,,0.8,21.0,45.0,,,,
新莊,新北市,40.0,,良好,3.6,0.75,0.6,4.0,38.0,18,32.0,47.0,15.0,0.7,284.0,2017-06-23 02:00,,0.6,12.0,31.0,,,,
