SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,28.0,,良好,1.0,0.21,51,30.0,11.0,5,5.7,6.5,0.9,0.7,90.0,2017-05-16 00:00,,0.3,7.0,13.0,,,,
汐止,新北市,37.0,,良好,2.1,0.2,48,23.0,11.0,7,8.7,10.0,1.7,1.4,49.0,2017-05-16 00:00,,0.3,11.0,14.0,,,,
萬里,新北市,41.0,,良好,2.7,0.14,56,44.0,30.0,14,1.8,2.8,1.0,3.9,1.5,2017-05-16 00:00,,0.2,12.0,22.0,,,,
新店,新北市,28.0,,良好,3.2,0.2,48,28.0,14.0,6,7.9,9.1,1.2,1.3,333.0,2017-05-16 00:00,,0.4,9.0,15.0,,,,
土城,新北市,30.0,,良好,1.5,0.34,42,30.0,12.0,7,12.0,13.0,0.8,0.6,85.0,2017-05-16 00:00,,0.4,9.0,14.0,,,,
板橋,新北市,25.0,,良好,1.9,0.42,35,25.0,16.0,8,18.0,19.0,0.5,1.2,74.0,2017-05-16 00:00,,0.5,8.0,17.0,,,,
新莊,新北市,29.0,,良好,1.9,0.28,42,31.0,20.0,6,14.0,15.0,1.0,0.8,257.0,2017-05-16 00:00,,0.5,7.0,19.0,,,,
菜寮,新北市,32.0,,良好,1.0,0.34,38,26.0,10.0,11,14.0,16.0,1.6,1.8,118.0,2017-05-16 00:00,,0.5,10.0,14.0,,,,
林口,新北市,38.0,,良好,0.6,0.14,52,41.0,19.0,12,3.1,4.6,1.5,2.7,52.0,2017-05-16 00:00,,0.3,11.0,23.0,,,,
基隆,基隆市,32.0,,良好,3.0,0.16,48,35.0,,,6.9,7.9,1.0,0.8,254.0,2017-05-16 02:00,,0.3,7.0,14.0,,,,
汐止,新北市,35.0,,良好,2.9,0.16,51,32.0,11.0,13,5.7,6.9,1.2,1.5,44.0,2017-05-16 02:00,,0.3,11.0,13.0,,,,
麥寮,雲林縣,56.0,細懸浮微粒,普通,2.6,0.25,36,45.0,43.0,16,6.6,8.0,1.4,3.4,49.0,2017-05-16 00:00,,0.2,18.0,47.0,,,,
基隆,基隆市,40.0,,良好,3.2,0.16,41,43.0,19.0,11,6.3,7.0,0.7,0.8,243.0,2017-05-16 04:00,,0.2,8.0,15.0,,,,
淡水,新北市,41.0,,良好,1.4,0.17,41,33.0,17.0,10,2.7,3.5,0.8,,,2017-05-16 00:00,,0.3,13.0,22.0,,,,
士林,臺北市,24.0,,良好,1.3,0.23,39,26.0,16.0,ND,8.4,9.5,1.1,1.1,243.0,2017-05-16 00:00,,0.4,7.0,17.0,,,,
中山,臺北市,39.0,,良好,1.6,0.34,40,19.0,28.0,14,16.0,18.0,2.1,2.4,124.0,2017-05-16 00:00,,0.7,12.0,22.0,,,,
萬華,臺北市,24.0,,良好,2.1,0.28,40,18.0,17.0,6,15.0,17.0,1.6,1.7,93.0,2017-05-16 00:00,,0.6,8.0,17.0,,,,
古亭,臺北市,,,設備維護,,,,,,,,,,,,2017-05-16 00:00,,,,,,,,
松山,臺北市,40.0,,良好,2.2,0.28,45,22.0,8.0,14,11.0,13.0,1.2,1.5,65.0,2017-05-16 00:00,,0.5,12.0,15.0,,,,
大同,臺北市,32.0,,良好,2.4,0.67,-,,36.0,3,27.0,37.0,10.0,,,2017-05-16 00:00,,1.4,7.0,35.0,,,,
桃園,桃園市,45.0,,良好,2.4,0.27,43,37.0,25.0,13,9.6,11.0,1.1,0.6,70.0,2017-05-16 00:00,,0.3,14.0,22.0,,,,
大園,桃園市,42.0,,良好,1.3,0.22,47,45.0,21.0,2,12.0,14.0,1.1,3.4,55.0,2017-05-16 00:00,,0.3,7.0,27.0,,,,
觀音,桃園市,39.0,,良好,5.8,0.21,43,42.0,40.0,,10.0,10.0,0.1,3.5,80.0,2017-05-16 00:00,,0.2,,40.0,,,,
平鎮,桃園市,40.0,,良好,1.7,0.28,39,43.0,20.0,2,19.0,21.0,1.9,2.3,51.0,2017-05-16 00:00,,0.3,7.0,25.0,,,,
龍潭,桃園市,45.0,,良好,1.5,0.25,45,43.0,27.0,11,8.3,8.9,0.6,1.4,46.0,2017-05-16 00:00,,0.3,14.0,32.0,,,,
湖口,新竹縣,46.0,,良好,1.3,0.19,48,50.0,14.0,15,5.2,5.2,0.0,2.6,105.0,2017-05-16 00:00,,0.2,13.0,18.0,,,,
