SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,49.0,,良好,3.4,0.4,20,10.0,38.0,24,17.0,23.0,5.6,1.9,240.0,2017-07-27 08:00,,0.2,15.0,22.0,,,,
汐止,新北市,63.0,細懸浮微粒,普通,1.8,0.49,18,10.0,38.0,25,16.0,26.0,10.0,1.6,243.0,2017-07-27 08:00,,0.3,20.0,25.0,,,,
萬里,新北市,61.0,細懸浮微粒,普通,3.5,0.37,20,14.0,38.0,25,13.0,19.0,5.8,1.7,8.2,2017-07-27 08:00,,0.2,20.0,26.0,,,,
新店,新北市,54.0,細懸浮微粒,普通,1.9,0.4,13,11.0,30.0,16,10.0,17.0,6.9,2.0,121.0,2017-07-27 08:00,,0.2,17.0,33.0,,,,
土城,新北市,70.0,細懸浮微粒,普通,4.4,0.65,9.2,4.0,53.0,23,24.0,40.0,16.0,0.9,178.0,2017-07-27 08:00,,0.5,23.0,52.0,,,,
基隆,基隆市,44.0,,良好,1.8,0.2,9.6,27.0,8.0,7.0,10.0,12.0,1.9,0.9,247.0,2017-07-27 00:00,,2.0,14.0,14.0,,,,
馬祖,連江縣,,,設備維護,,,,,,,,,,,,2017-07-27 00:00,,,,,,,,
中山,臺北市,,,設備維護,,0.65,,,,,,,,0.5,81.0,2017-07-27 01:00,,10.0,,,,,,
馬祖,連江縣,,,設備維護,,,,,,,,,,,,2017-07-27 01:00,,,,,,,,
中山,臺北市,,,設備維護,,0.37,,,,,,,,0.9,165.0,2017-07-27 02:00,,9.0,,,,,,
馬祖,連江縣,,,設備維護,,,,,,,,,,,,2017-07-27 02:00,,,,,,,,
大里,臺中市,48.0,,良好,1.1,0.18,14.0,12.0,25.0,14.0,6.7,7.7,1.1,1.1,83.0,2017-07-27 03:00,,5.0,36.0,36.0,,,,
馬祖,連江縣,,,設備維護,,,,,,,,,,,,2017-07-27 04:00,,,,,,,,
中山,臺北市,,,設備維護,,0.25,,,,,,,,0.9,176.0,2017-07-27 05:00,,6.0,,,,,,
馬祖,連江縣,,,設備維護,,,,,,,,,,,,2017-07-27 05:00,,,,,,,,
斗六,雲林縣,28.0,,良好,1.3,0.15,17.0,14.0,34.0,2.0,4.4,4.9,0.5,1.3,129.0,2017-07-27 06:00,,2.0,28.0,28.0,,,,
基隆,基隆市,41.0,,良好,3.2,0.33,11,9.0,30.0,20,16.0,21.0,5.2,1.4,240.0,2017-07-27 07:00,,0.2,13.0,18.0,,,,
汐止,新北市,58.0,細懸浮微粒,普通,1.3,0.51,5.8,9.0,33.0,25,18.0,40.0,23.0,1.0,230.0,2017-07-27 07:00,,0.3,18.0,22.0,,,,
萬里,新北市,58.0,細懸浮微粒,普通,2.4,0.28,14,13.0,29.0,21,8.5,11.0,2.4,2.0,193.0,2017-07-27 07:00,,0.2,18.0,22.0,,,,
新店,新北市,54.0,細懸浮微粒,普通,1.7,0.24,11,12.0,31.0,14,8.0,11.0,3.2,2.4,120.0,2017-07-27 07:00,,0.2,17.0,34.0,,,,
土城,新北市,69.0,細懸浮微粒,普通,4.3,0.58,3.4,3.0,55.0,24,19.0,48.0,29.0,0.8,182.0,2017-07-27 07:00,,0.4,23.0,50.0,,,,
